t,s,P_RT
0,0,43.864836107526195
0,1,33.49656276380124
0,2,62.109812463269414
0,3,78.9856242680469
0,4,59.336144121669875
0,5,63.5418553315481
0,6,33.064895818363354
0,7,63.66724027322736
0,8,92.96991110718078
0,9,87.10134550930604
0,10,79.31000129286949
0,11,39.25223843114515
0,12,89.88108536793632
0,13,87.51139378086694
0,14,42.88580831272116
0,15,73.01463926366799
0,16,33.56158409679836
0,17,39.7681679175028
0,18,52.64062020248678
0,19,42.42319770717943
0,20,81.18094073626348
0,21,85.00442319101515
0,22,54.462686599344124
0,23,52.79740611214643
0,24,39.44085725629569
0,25,37.654197070857506
0,26,78.19843406542535
0,27,70.90024979591864
0,28,35.83069374222983
0,29,63.17883610183339
0,30,58.14148666565004
0,31,86.91975957567129
0,32,78.52878869795744
0,33,71.06278550767999
0,34,67.85932786270754
0,35,93.44035199500742
0,36,95.86298353125308
0,37,54.03901443532409
0,38,47.70825757404049
0,39,83.59617193368736
0,40,36.34736826624328
0,41,55.75174683829703
0,42,36.7559472713858
0,43,52.834090316345836
0,44,36.77914724418136
0,45,50.95741704714205
0,46,83.18770520996986
0,47,90.62237483952832
0,48,83.35021555823838
0,49,68.46770399738814
0,50,71.96258242084622
0,51,55.54978416055815
0,52,43.12636836248013
0,53,60.37025577339676
0,54,79.49447434209401
0,55,36.295859967497755
0,56,33.57766360591774
0,57,81.92689401177337
0,58,51.58213626348127
0,59,77.45292039984449
0,60,79.61327413272367
0,61,92.39589482969727
0,62,58.054562475464245
0,63,55.353398293625034
0,64,84.24943678177473
0,65,81.53633127610529
0,66,74.32237168320287
0,67,84.53314156027498
0,68,73.65177134525207
0,69,93.97823474783732
0,70,53.769505578891746
0,71,79.84443412531759
0,72,93.48748206671151
0,73,53.801084297477004
0,74,71.67974135253273
0,75,55.819744205632645
0,76,62.00159728140912
0,77,37.07701313410092
0,78,33.48805899077884
0,79,81.22413559002192
0,80,61.435376709774
0,81,72.40206425039962
0,82,79.95398148532794
0,83,59.236831306479225
0,84,55.94531926070833
0,85,43.14000698198493
0,86,83.43088335274565
0,87,85.95630293230631
0,88,79.5839522106604
0,89,88.6811103577425
0,90,74.02844561928042
0,91,77.12418705101932
0,92,44.68687199725216
0,93,81.73887671232495
0,94,53.7829482290676
0,95,60.481052621091116
0,96,52.80201286000178
0,97,68.88496137499772
0,98,74.71426542402314
0,99,69.35366943268929
1,0,73.95477162564069
1,1,64.89929937159478
1,2,121.5670724647776
1,3,72.50652017956816
1,4,84.804426125359
1,5,53.45711963422821
1,6,72.3993629059651
1,7,52.9401168086843
1,8,76.2620405114177
1,9,109.30699142347757
1,10,133.22988496968497
1,11,101.7074658299894
1,12,69.53624799168124
1,13,104.55325655024149
1,14,101.86772287981802
1,15,119.82381119694205
1,16,93.43412231792298
1,17,127.54927139324515
1,18,82.75106879884872
1,19,71.04945475471378
1,20,92.10665403676339
1,21,128.573244965535
1,22,110.62759058352604
1,23,89.8383762967417
1,24,90.1622703301258
1,25,103.83135847124225
1,26,85.66768122665613
1,27,94.96580086585472
1,28,132.9774249773433
1,29,129.47382974955067
1,30,121.18264078792906
1,31,56.67799653862923
1,32,95.49743344388143
1,33,78.31511785288114
1,34,127.6101769730135
1,35,73.54729625022206
1,36,129.3248877797756
1,37,66.7380493109364
1,38,83.19280729433439
1,39,131.96393803218137
1,40,99.0194769699691
1,41,129.44986798607857
1,42,93.90019381164646
1,43,65.80621228263293
1,44,109.63798555569227
1,45,92.33856849656468
1,46,90.88328332128215
1,47,57.53092588957824
1,48,58.2933488480317
1,49,129.2199639930981
1,50,131.61102640409032
1,51,132.50339956565597
1,52,77.5343441075271
1,53,49.340428032618775
1,54,95.26298057995344
1,55,111.74824699799318
1,56,103.7702806436808
1,57,49.97881032741095
1,58,66.24423226588623
1,59,108.99815544534385
1,60,50.173324995710416
1,61,121.70793819723956
1,62,134.59591893635573
1,63,67.5925413988531
1,64,50.08569077822248
1,65,133.7473642913716
1,66,114.5418696572972
1,67,86.24857601377438
1,68,88.42322020116009
1,69,127.94529439332916
1,70,77.35725830438079
1,71,50.00113446643517
1,72,100.69018667231526
1,73,73.44476001320047
1,74,106.79943395511994
1,75,130.8781346892547
1,76,77.78658580845708
1,77,67.5200958841766
1,78,49.9805294270824
1,79,120.36683956281777
1,80,52.27892456255034
1,81,131.26006712739616
1,82,109.02196101130913
1,83,127.58643754396205
1,84,118.8104325493387
1,85,62.433339840611154
1,86,61.09395013680684
1,87,132.09275299230515
1,88,71.50079257861171
1,89,116.6567128790917
1,90,60.63176319054809
1,91,72.22862435862072
1,92,106.07009767637744
1,93,67.64858590698331
1,94,113.15448503896017
1,95,124.66898517350197
1,96,74.15229376676272
1,97,72.19406393346101
1,98,47.70100130214663
1,99,83.3979170226056
2,0,42.614410500468246
2,1,80.9905496579131
2,2,89.5278252985935
2,3,80.51197869302263
2,4,83.18143147213266
2,5,82.87421373142678
2,6,105.70935461516127
2,7,77.70267198553246
2,8,102.60022539300051
2,9,64.20812919824624
2,10,48.28023598722419
2,11,54.40366540165263
2,12,97.4671248862562
2,13,54.99200577688053
2,14,95.90374688606077
2,15,105.7236288537401
2,16,78.70937034804841
2,17,48.47593982464921
2,18,84.67138527238873
2,19,66.28257268842758
2,20,106.14650550706548
2,21,54.53641104718232
2,22,55.33904179510836
2,23,74.03482533431882
2,24,74.87839655661915
2,25,51.832889921539014
2,26,65.89357149722052
2,27,88.03823561735423
2,28,73.14243474239605
2,29,42.182810847223195
2,30,68.98138815789952
2,31,69.01922400403149
2,32,71.41544435763223
2,33,39.47875029595764
2,34,58.331291614931175
2,35,109.30903635457008
2,36,104.22915258659562
2,37,108.57783261916717
2,38,94.87520358444124
2,39,70.3895334701743
2,40,108.33630493509976
2,41,60.341154646941
2,42,82.38930224471791
2,43,81.9535740812904
2,44,70.8991400135629
2,45,56.55087515870007
2,46,62.58859206627679
2,47,86.1351584892448
2,48,59.08713355148212
2,49,63.772834819159804
2,50,64.36873313721024
2,51,62.16080708380758
2,52,100.12356939780607
2,53,78.81474028949974
2,54,39.06651511879532
2,55,93.57053884275327
2,56,75.52769055699767
2,57,96.38272265529238
2,58,74.95445958545265
2,59,61.108111555671854
2,60,100.9343549913354
2,61,50.746086513023144
2,62,58.65416511686025
2,63,74.1694850457265
2,64,102.48555870444407
2,65,46.36494135033894
2,66,63.20705766283008
2,67,77.79392089823071
2,68,88.80533254912733
2,69,45.60994669981639
2,70,94.60340491054619
2,71,79.65397759816544
2,72,76.65624002983377
2,73,66.38606828520588
2,74,61.395201336024094
2,75,104.7942219919036
2,76,112.57721880176558
2,77,50.88700560320962
2,78,53.621693372580516
2,79,87.9525519788087
2,80,95.30272903901923
2,81,99.70421549231773
2,82,60.47563928364599
2,83,53.44075361747528
2,84,43.15120394526381
2,85,66.04405102024948
2,86,80.0732767085779
2,87,103.44118862691413
2,88,40.172448287252806
2,89,44.438881360175024
2,90,86.9058213811133
2,91,88.27563549762306
2,92,47.037149782745296
2,93,44.94460427984594
2,94,39.79049484901526
2,95,86.57338624514547
2,96,58.77325645662591
2,97,55.844316323733885
2,98,87.76526438332445
2,99,46.80118267742215
3,0,71.20331800403363
3,1,40.59752149710042
3,2,38.86792729855587
3,3,80.28017653996511
3,4,88.73606738226984
3,5,66.1203917114204
3,6,61.97893777780069
3,7,82.54840504025488
3,8,39.575002732528915
3,9,53.46933066318738
3,10,96.54421309267316
3,11,99.54567886083395
3,12,36.98870886430075
3,13,34.561343657484606
3,14,87.10575234052926
3,15,65.39562403858055
3,16,86.7310763893904
3,17,78.52484116577313
3,18,65.12687095257499
3,19,83.12770896705288
3,20,75.88286221689438
3,21,35.430552716460255
3,22,66.37408972540129
3,23,94.9460227595266
3,24,87.95767512369892
3,25,79.34548676637526
3,26,77.05432759680767
3,27,90.45346340899998
3,28,54.36654587493551
3,29,61.426513417553664
3,30,77.67796988462679
3,31,90.75186382455635
3,32,56.43077110530725
3,33,45.92556052873302
3,34,53.05529348292627
3,35,64.50924045786537
3,36,41.115404017717864
3,37,77.51853010709432
3,38,95.94050535099144
3,39,57.86039336087548
3,40,100.05566058862375
3,41,63.179983673422775
3,42,71.15732487747391
3,43,101.45387295163664
3,44,83.13131771468032
3,45,69.0801630632564
3,46,86.19022667205967
3,47,66.86783558281111
3,48,83.92416848344995
3,49,49.62658555774351
3,50,39.633685738641944
3,51,75.51393335715855
3,52,70.32879964570756
3,53,66.00073865385305
3,54,42.421728505187104
3,55,98.55556116867612
3,56,42.02745061496908
3,57,100.8172882064808
3,58,56.20614620724376
3,59,53.713021118372055
3,60,98.92965950988793
3,61,100.34521939315047
3,62,82.487439541648
3,63,99.97707270392631
3,64,46.372118516804036
3,65,93.2035431551148
3,66,76.82211756611447
3,67,54.65624632784233
3,68,75.32674775576338
3,69,41.85933757004473
3,70,88.76185263181755
3,71,78.44887530532404
3,72,41.70471237723802
3,73,49.44175790026763
3,74,54.39395002420649
3,75,66.8958744101604
3,76,50.195234312452186
3,77,54.793681947971585
3,78,72.23862129372891
3,79,44.44899101109801
3,80,86.10512769141557
3,81,65.30563056795131
3,82,62.31939008641086
3,83,73.74985030368944
3,84,45.18401222842205
3,85,95.60016671715347
3,86,42.26247234987729
3,87,71.93879280874032
3,88,100.64417765862476
3,89,43.913503909789746
3,90,82.3602663972812
3,91,101.34839702538488
3,92,102.76589684181813
3,93,58.24095933563773
3,94,77.34181764997571
3,95,99.0936325701254
3,96,77.25762779642812
3,97,94.31500456033736
3,98,82.27543458874861
3,99,36.885970067743195
4,0,61.9750740158311
4,1,102.1640529762788
4,2,71.01065909362846
4,3,68.45766083548465
4,4,58.998635580726805
4,5,48.35703516673898
4,6,85.67548852189799
4,7,65.62625453789317
4,8,101.30490458402797
4,9,39.81448073215977
4,10,100.73637004680609
4,11,43.41919048748639
4,12,97.01056971877337
4,13,70.22084222035181
4,14,90.90172264504919
4,15,69.69770079358894
4,16,48.26902696245165
4,17,106.14868170319775
4,18,83.74078194821364
4,19,52.39429640542416
4,20,80.37175336827778
4,21,52.01406945678003
4,22,66.10972220320758
4,23,80.27725326236941
4,24,81.37987052954816
4,25,44.560309837853524
4,26,50.76342312376941
4,27,70.23717976351487
4,28,74.48180483016748
4,29,99.48261238836852
4,30,78.92176193737444
4,31,96.13102252077717
4,32,63.74736367811624
4,33,50.408574070435535
4,34,57.14943749312434
4,35,38.479321488248985
4,36,63.338644807267755
4,37,83.22933899608941
4,38,98.36320625811149
4,39,53.85851532400803
4,40,88.37968546660322
4,41,91.80068757951898
4,42,87.31337301877817
4,43,107.26199483469529
4,44,79.15270751371781
4,45,69.16029965175966
4,46,75.99475802841106
4,47,36.99778075649792
4,48,37.141510554298705
4,49,72.82845134180091
4,50,64.25207550031763
4,51,46.5425275449948
4,52,62.61713230254773
4,53,83.66577284657129
4,54,74.96760362442961
4,55,65.70437426202916
4,56,93.09107031330218
4,57,40.55946378525804
4,58,101.60062417985577
4,59,86.42745448464451
4,60,67.3961007887357
4,61,87.35095108606458
4,62,105.49290766099632
4,63,84.64679727804332
4,64,85.63666856464172
4,65,88.11071653294516
4,66,103.76594527446088
4,67,101.83410498963846
4,68,57.12535354112341
4,69,38.29269905471668
4,70,57.01190691660279
4,71,63.33099594954496
4,72,54.7865425159737
4,73,70.16794196189973
4,74,105.40090326520041
4,75,50.52791778407643
4,76,64.61172827197363
4,77,97.70862427515455
4,78,46.25530519612254
4,79,62.47716016846316
4,80,77.02781097894635
4,81,93.04113136505674
4,82,99.81964481738468
4,83,55.411452669147806
4,84,106.45364238460796
4,85,68.52233400948091
4,86,46.248573644581015
4,87,48.3014904237015
4,88,68.70669622832007
4,89,96.15429085146489
4,90,41.70512486310465
4,91,52.5913473724644
4,92,95.41423973443783
4,93,96.99936858478861
4,94,51.31009507936846
4,95,40.77012944109124
4,96,84.58775119433862
4,97,94.8427375637239
4,98,40.296649496201006
4,99,74.95472302459682
5,0,55.27948511347406
5,1,94.81551087154433
5,2,52.74857196478545
5,3,54.41457848061581
5,4,89.62086520219022
5,5,124.6273055500182
5,6,45.52790281544351
5,7,51.62535481719003
5,8,60.45859873296506
5,9,113.23232297835018
5,10,63.75956031632964
5,11,66.49296954510795
5,12,80.04491244397286
5,13,116.85957757431703
5,14,67.20317563512243
5,15,83.69264327212642
5,16,83.97212757489558
5,17,86.09273920537512
5,18,81.46507904189636
5,19,112.40528438048146
5,20,60.28088009671216
5,21,86.50683920243351
5,22,54.34919688228933
5,23,118.11139974909551
5,24,79.66516145442526
5,25,129.02341082481828
5,26,100.19135785624545
5,27,60.64097241307418
5,28,122.71935768606025
5,29,68.35103265328263
5,30,98.0485308632395
5,31,108.96862344577724
5,32,51.96067768686332
5,33,58.92286244314743
5,34,79.81328812317462
5,35,73.94752996740864
5,36,70.27071567248609
5,37,66.3364557437898
5,38,74.11894905824141
5,39,127.60562753615142
5,40,82.54987317287444
5,41,82.50015883928965
5,42,64.63982398931259
5,43,59.4009150034493
5,44,65.23667516787422
5,45,119.3435690662451
5,46,119.39466229613106
5,47,57.7704297386749
5,48,77.2243961268149
5,49,93.05612178487274
5,50,90.73521015219866
5,51,60.41164627072426
5,52,48.38079765275498
5,53,111.67684645951515
5,54,54.246424687463836
5,55,77.30069459052244
5,56,108.71880566977406
5,57,102.08804122642726
5,58,78.23453087553834
5,59,111.9069787915298
5,60,128.61158029075204
5,61,84.40180758366898
5,62,119.28489059270065
5,63,87.92763714579348
5,64,76.50530142552866
5,65,128.29037470645372
5,66,109.55466544758039
5,67,54.729894149622005
5,68,89.66836103304858
5,69,75.72447194150371
5,70,85.74130921816257
5,71,108.15002269739747
5,72,72.12902040439847
5,73,94.83523737230844
5,74,63.582703592480264
5,75,81.2335163197023
5,76,119.64992342942676
5,77,106.53152871783831
5,78,74.31993798613985
5,79,67.02729957034506
5,80,94.99897284094139
5,81,83.97652888056821
5,82,128.11982388488596
5,83,68.56511557537067
5,84,122.37167785273297
5,85,63.264188185745795
5,86,112.0838048933364
5,87,117.59825921896646
5,88,59.33484130969888
5,89,81.29098098965628
5,90,104.30120744009962
5,91,78.5500793431079
5,92,52.31764173985057
5,93,109.1720918260948
5,94,84.97667266403309
5,95,58.95450297194695
5,96,47.48313349386907
5,97,87.90954287789957
5,98,68.24010578390146
5,99,113.1118161776727
6,0,46.956852058620775
6,1,36.876670681408775
6,2,100.52547486800236
6,3,65.53703895844956
6,4,96.6682403224717
6,5,76.43242017558676
6,6,98.61278677114781
6,7,102.71563905240704
6,8,41.72917240192829
6,9,55.63350572977724
6,10,48.785721655008615
6,11,104.02091813172974
6,12,85.31872918187341
6,13,101.81102084814458
6,14,106.0660054575757
6,15,92.24943054568945
6,16,98.1321815852155
6,17,102.89102733401921
6,18,79.22217008746763
6,19,94.24142906563267
6,20,105.29733887940229
6,21,69.3752784733226
6,22,51.1831452114682
6,23,83.22394633715257
6,24,39.66409579519453
6,25,57.80215863538463
6,26,62.61101592109659
6,27,93.18642767287353
6,28,37.417325578129585
6,29,58.6818410776546
6,30,57.60574479894597
6,31,83.02058334996366
6,32,98.2149492251105
6,33,70.01811954203673
6,34,95.97575644302812
6,35,65.85400382958528
6,36,71.58376267130274
6,37,58.63662716886213
6,38,49.711980364479736
6,39,99.29935241624293
6,40,78.722119056597
6,41,54.86061879868479
6,42,74.1782301209086
6,43,64.61761590377017
6,44,38.33739722670319
6,45,85.46342407920149
6,46,97.68630092037056
6,47,79.17751105527397
6,48,46.25389984898415
6,49,65.66317115944533
6,50,50.24648566614601
6,51,47.869786653759775
6,52,56.7210159021186
6,53,99.68910300031838
6,54,95.90782035793656
6,55,92.38162377926947
6,56,101.98201216622942
6,57,43.40863871520872
6,58,51.34470455110366
6,59,38.80457654771186
6,60,36.00259766834105
6,61,81.4964443949337
6,62,64.87990497764778
6,63,76.09307576691633
6,64,97.74812962453149
6,65,56.17440822036737
6,66,53.17390145748744
6,67,94.35800075139773
6,68,37.47939563867368
6,69,101.83271718758421
6,70,60.48652335261887
6,71,38.09301383141647
6,72,51.19341522849411
6,73,41.48239006330986
6,74,96.0340927914335
6,75,39.67235757262859
6,76,39.521839597072294
6,77,79.62296386243693
6,78,50.70090362086229
