"RTD End Time Stamp","Zone Name","Zone PTID","RTD Zonal LBMP","RTD Zonal Losses","RTD Zonal Congestion","RTD Zonal Price Version"
"2022/07/01 00:05:00","MHK VL","61756","57.69","1.74","0","1"
"2022/07/01 00:10:00","MHK VL","61756","56.88","1.66","0","1"
"2022/07/01 00:15:00","MHK VL","61756","59.59","1.62","0","1"
"2022/07/01 00:20:00","MHK VL","61756","55.41","1.51","0","1"
"2022/07/01 00:25:00","MHK VL","61756","54.33","1.48","0","1"
"2022/07/01 00:30:00","MHK VL","61756","53.68","1.46","0","1"
"2022/07/01 00:35:00","MHK VL","61756","53.94","1.47","0","1"
"2022/07/01 00:40:00","MHK VL","61756","51.65","1.36","0","1"
"2022/07/01 00:45:00","MHK VL","61756","53.06","1.34","0","1"
"2022/07/01 00:50:00","MHK VL","61756","51.63","1.36","0","1"
"2022/07/01 00:55:00","MHK VL","61756","51.63","1.36","0","1"
"2022/07/01 01:00:00","MHK VL","61756","49.57","1.25","0","1"
"2022/07/01 01:05:00","MHK VL","61756","49.69","1.21","0","1"
"2022/07/01 01:10:00","MHK VL","61756","49.53","1.21","0","1"
"2022/07/01 01:15:00","MHK VL","61756","49.58","1.25","0","1"
"2022/07/01 01:20:00","MHK VL","61756","50","1.27","0","1"
"2022/07/01 01:25:00","MHK VL","61756","49.19","1.24","0","1"
"2022/07/01 01:30:00","MHK VL","61756","49.1","1.2","0","1"
"2022/07/01 01:35:00","MHK VL","61756","49.27","1.2","0","1"
"2022/07/01 01:40:00","MHK VL","61756","49","1.2","0","1"
"2022/07/01 01:45:00","MHK VL","61756","48.86","1.19","0","1"
"2022/07/01 01:50:00","MHK VL","61756","48.83","1.19","0","1"
"2022/07/01 01:55:00","MHK VL","61756","45.73","1.12","0","1"
"2022/07/01 02:00:00","MHK VL","61756","53.17","1.3","0","1"
"2022/07/01 02:05:00","MHK VL","61756","51.8","1.21","0","1"
"2022/07/01 02:10:00","MHK VL","61756","50.92","1.24","0","1"
"2022/07/01 02:15:00","MHK VL","61756","49.78","1.21","0","1"
"2022/07/01 02:20:00","MHK VL","61756","49.78","1.21","0","1"
"2022/07/01 02:25:00","MHK VL","61756","49.48","1.21","0","1"
"2022/07/01 02:30:00","MHK VL","61756","49.14","1.15","0","1"
"2022/07/01 02:35:00","MHK VL","61756","48.79","1.14","0","1"
"2022/07/01 02:40:00","MHK VL","61756","48.63","1.09","0","1"
"2022/07/01 02:45:00","MHK VL","61756","48.67","1.1","0","1"
"2022/07/01 02:50:00","MHK VL","61756","48.63","1.09","0","1"
"2022/07/01 02:55:00","MHK VL","61756","48.52","1.14","0","1"
"2022/07/01 03:00:00","MHK VL","61756","48.88","1.14","0","1"
"2022/07/01 03:05:00","MHK VL","61756","49.14","1.15","0","1"
"2022/07/01 03:10:00","MHK VL","61756","48.96","1.15","0","1"
"2022/07/01 03:15:00","MHK VL","61756","48.63","1.09","0","1"
"2022/07/01 03:20:00","MHK VL","61756","48.34","1.09","0","1"
"2022/07/01 03:25:00","MHK VL","61756","48.1","1.03","0","1"
