Eastern Date Hour,Eastern Date Hour Time Zone,Zone Name,Zone PTID,DAM Zonal LBMP,DAM Zonal Losses,DAM Zonal Congestion,DAM Zonal Price Version
6/1/24 0:00,EDT,N.Y.C.,61761,22.21,1.18,0,1
6/1/24 1:00,EDT,N.Y.C.,61761,20.66,1.04,0,1
6/1/24 2:00,EDT,N.Y.C.,61761,18.35,0.91,0,1
6/1/24 3:00,EDT,N.Y.C.,61761,17.75,0.88,0,1
6/1/24 4:00,EDT,N.Y.C.,61761,18.14,0.86,0,1
6/1/24 5:00,EDT,N.Y.C.,61761,19.08,0.93,0,1
6/1/24 6:00,EDT,N.Y.C.,61761,19.66,0.92,0,1
6/1/24 7:00,EDT,N.Y.C.,61761,19.22,0.93,0,1
6/1/24 8:00,EDT,N.Y.C.,61761,19.5,1.03,0,1
6/1/24 9:00,EDT,N.Y.C.,61761,18.76,1.13,0,1
6/1/24 10:00,EDT,N.Y.C.,61761,18.65,1.27,0,1
6/1/24 11:00,EDT,N.Y.C.,61761,18.88,1.37,0,1
6/1/24 12:00,EDT,N.Y.C.,61761,19.33,1.41,0,1
6/1/24 13:00,EDT,N.Y.C.,61761,19.91,1.53,0,1
6/1/24 14:00,EDT,N.Y.C.,61761,21.15,1.6,-0.01,1
6/1/24 15:00,EDT,N.Y.C.,61761,21.7,1.79,-0.08,1
6/1/24 16:00,EDT,N.Y.C.,61761,24.55,2.01,-0.25,1
6/1/24 17:00,EDT,N.Y.C.,61761,28.94,2.24,0,1
6/1/24 18:00,EDT,N.Y.C.,61761,32.43,2.35,0,1
6/1/24 19:00,EDT,N.Y.C.,61761,33.22,2.54,0,1
6/1/24 20:00,EDT,N.Y.C.,61761,31.3,2.37,0,1
6/1/24 21:00,EDT,N.Y.C.,61761,28.44,1.91,0,1
6/1/24 22:00,EDT,N.Y.C.,61761,25.68,1.84,0,1
6/1/24 23:00,EDT,N.Y.C.,61761,23.01,1.44,0,1
6/2/24 0:00,EDT,N.Y.C.,61761,21.1,1.58,0,1
6/2/24 1:00,EDT,N.Y.C.,61761,19.28,1.24,0,1
6/2/24 2:00,EDT,N.Y.C.,61761,17.87,1.2,0,1
6/2/24 3:00,EDT,N.Y.C.,61761,17.31,1.18,0,1
6/2/24 4:00,EDT,N.Y.C.,61761,16.76,1.13,0,1
6/2/24 5:00,EDT,N.Y.C.,61761,16.88,1.12,0,1
6/2/24 6:00,EDT,N.Y.C.,61761,16.52,1.02,0,1
6/2/24 7:00,EDT,N.Y.C.,61761,16.44,0.96,0,1
6/2/24 8:00,EDT,N.Y.C.,61761,17.73,1.08,0,1
