datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
9/1/2025 4:00:00 AM,9/1/2025 12:00:00 AM,1,PJM-RTO,,,ZONE,,14.70,14.747714,0.028871,0.018843,True,1
9/1/2025 5:00:00 AM,9/1/2025 1:00:00 AM,1,PJM-RTO,,,ZONE,,15.40,15.623231,0.193417,0.029814,True,1
9/1/2025 6:00:00 AM,9/1/2025 2:00:00 AM,1,PJM-RTO,,,ZONE,,13.94,13.984310,0.045335,-0.001025,True,1
9/1/2025 7:00:00 AM,9/1/2025 3:00:00 AM,1,PJM-RTO,,,ZONE,,13.74,13.767256,0.038421,-0.011166,True,1
9/1/2025 8:00:00 AM,9/1/2025 4:00:00 AM,1,PJM-RTO,,,ZONE,,13.26,13.274531,0.023520,-0.008989,True,1
9/1/2025 9:00:00 AM,9/1/2025 5:00:00 AM,1,PJM-RTO,,,ZONE,,14.53,14.665985,0.127000,0.008985,True,1
9/1/2025 10:00:00 AM,9/1/2025 6:00:00 AM,1,PJM-RTO,,,ZONE,,16.83,16.945990,0.104055,0.011935,True,1
9/1/2025 11:00:00 AM,9/1/2025 7:00:00 AM,1,PJM-RTO,,,ZONE,,14.71,14.822878,0.092118,0.020760,True,1
9/1/2025 12:00:00 PM,9/1/2025 8:00:00 AM,1,PJM-RTO,,,ZONE,,12.05,12.055554,-0.004557,0.010111,True,1
9/1/2025 1:00:00 PM,9/1/2025 9:00:00 AM,1,PJM-RTO,,,ZONE,,12.49,12.501828,0.000510,0.011318,True,1
9/1/2025 2:00:00 PM,9/1/2025 10:00:00 AM,1,PJM-RTO,,,ZONE,,15.19,15.173828,-0.046666,0.030494,True,1
9/1/2025 3:00:00 PM,9/1/2025 11:00:00 AM,1,PJM-RTO,,,ZONE,,16.25,16.325637,0.050775,0.024862,True,1
9/1/2025 4:00:00 PM,9/1/2025 12:00:00 PM,1,PJM-RTO,,,ZONE,,18.39,18.619847,0.164851,0.064996,True,1
9/1/2025 5:00:00 PM,9/1/2025 1:00:00 PM,1,PJM-RTO,,,ZONE,,19.75,19.930189,0.122084,0.058105,True,1
9/1/2025 6:00:00 PM,9/1/2025 2:00:00 PM,1,PJM-RTO,,,ZONE,,22.24,22.333749,0.037586,0.056163,True,1
9/1/2025 7:00:00 PM,9/1/2025 3:00:00 PM,1,PJM-RTO,,,ZONE,,24.30,24.562664,0.188868,0.073796,True,1
9/1/2025 8:00:00 PM,9/1/2025 4:00:00 PM,1,PJM-RTO,,,ZONE,,29.66,30.149504,0.359675,0.129828,True,1
9/1/2025 9:00:00 PM,9/1/2025 5:00:00 PM,1,PJM-RTO,,,ZONE,,33.42,33.895209,0.289719,0.185491,True,1
9/1/2025 10:00:00 PM,9/1/2025 6:00:00 PM,1,PJM-RTO,,,ZONE,,43.36,44.144847,0.607934,0.176912,True,1
9/1/2025 11:00:00 PM,9/1/2025 7:00:00 PM,1,PJM-RTO,,,ZONE,,51.69,52.901147,1.115848,0.095298,True,1
9/2/2025 12:00:00 AM,9/1/2025 8:00:00 PM,1,PJM-RTO,,,ZONE,,43.01,44.101730,0.936637,0.155093,True,1
9/2/2025 1:00:00 AM,9/1/2025 9:00:00 PM,1,PJM-RTO,,,ZONE,,32.14,32.753343,0.484849,0.128494,True,1
9/2/2025 2:00:00 AM,9/1/2025 10:00:00 PM,1,PJM-RTO,,,ZONE,,27.25,27.763093,0.393604,0.119489,True,1
9/2/2025 3:00:00 AM,9/1/2025 11:00:00 PM,1,PJM-RTO,,,ZONE,,21.76,21.990012,0.146982,0.083030,True,1
9/2/2025 4:00:00 AM,9/2/2025 12:00:00 AM,1,PJM-RTO,,,ZONE,,20.86,21.192363,0.273872,0.058491,True,1
9/2/2025 5:00:00 AM,9/2/2025 1:00:00 AM,1,PJM-RTO,,,ZONE,,19.54,19.885632,0.283799,0.061833,True,1
9/2/2025 6:00:00 AM,9/2/2025 2:00:00 AM,1,PJM-RTO,,,ZONE,,17.49,17.746545,0.207021,0.049524,True,1
9/2/2025 7:00:00 AM,9/2/2025 3:00:00 AM,1,PJM-RTO,,,ZONE,,16.52,16.514483,-0.040231,0.034714,True,1
9/2/2025 8:00:00 AM,9/2/2025 4:00:00 AM,1,PJM-RTO,,,ZONE,,17.94,17.950316,-0.029434,0.039751,True,1
9/2/2025 9:00:00 AM,9/2/2025 5:00:00 AM,1,PJM-RTO,,,ZONE,,21.81,22.126725,0.239059,0.077667,True,1
9/2/2025 10:00:00 AM,9/2/2025 6:00:00 AM,1,PJM-RTO,,,ZONE,,34.80,35.051355,0.172468,0.078887,True,1
9/2/2025 11:00:00 AM,9/2/2025 7:00:00 AM,1,PJM-RTO,,,ZONE,,32.12,32.555140,0.307143,0.127997,True,1
9/2/2025 12:00:00 PM,9/2/2025 8:00:00 AM,1,PJM-RTO,,,ZONE,,22.70,23.055016,0.294508,0.060508,True,1
9/2/2025 1:00:00 PM,9/2/2025 9:00:00 AM,1,PJM-RTO,,,ZONE,,22.30,23.048882,0.691558,0.057325,True,1
9/2/2025 2:00:00 PM,9/2/2025 10:00:00 AM,1,PJM-RTO,,,ZONE,,24.04,24.786098,0.701452,0.044645,True,1
9/2/2025 3:00:00 PM,9/2/2025 11:00:00 AM,1,PJM-RTO,,,ZONE,,26.01,26.784788,0.707270,0.067519,True,1
9/2/2025 4:00:00 PM,9/2/2025 12:00:00 PM,1,PJM-RTO,,,ZONE,,28.69,29.759111,0.949219,0.119892,True,1
9/2/2025 5:00:00 PM,9/2/2025 1:00:00 PM,1,PJM-RTO,,,ZONE,,32.44,32.997339,0.465754,0.091585,True,1
9/2/2025 6:00:00 PM,9/2/2025 2:00:00 PM,1,PJM-RTO,,,ZONE,,34.21,34.409496,0.105926,0.093570,True,1
9/2/2025 7:00:00 PM,9/2/2025 3:00:00 PM,1,PJM-RTO,,,ZONE,,33.21,33.141865,-0.136877,0.068742,True,1
9/2/2025 8:00:00 PM,9/2/2025 4:00:00 PM,1,PJM-RTO,,,ZONE,,34.40,34.271380,-0.226446,0.097825,True,1
9/2/2025 9:00:00 PM,9/2/2025 5:00:00 PM,1,PJM-RTO,,,ZONE,,41.88,41.998062,-0.023449,0.141512,True,1
9/2/2025 10:00:00 PM,9/2/2025 6:00:00 PM,1,PJM-RTO,,,ZONE,,52.92,53.292425,0.227451,0.144974,True,1
9/2/2025 11:00:00 PM,9/2/2025 7:00:00 PM,1,PJM-RTO,,,ZONE,,63.37,65.416767,1.876289,0.170478,True,1
9/3/2025 12:00:00 AM,9/2/2025 8:00:00 PM,1,PJM-RTO,,,ZONE,,50.25,51.396290,1.025912,0.120378,True,1
9/3/2025 1:00:00 AM,9/2/2025 9:00:00 PM,1,PJM-RTO,,,ZONE,,34.91,35.551540,0.612418,0.029122,True,1
9/3/2025 2:00:00 AM,9/2/2025 10:00:00 PM,1,PJM-RTO,,,ZONE,,32.01,32.543265,0.453112,0.080153,True,1
9/3/2025 3:00:00 AM,9/2/2025 11:00:00 PM,1,PJM-RTO,,,ZONE,,25.03,25.459981,0.357460,0.072520,True,1
9/3/2025 4:00:00 AM,9/3/2025 12:00:00 AM,1,PJM-RTO,,,ZONE,,21.27,21.094031,-0.244497,0.068528,True,1
9/3/2025 5:00:00 AM,9/3/2025 1:00:00 AM,1,PJM-RTO,,,ZONE,,19.95,19.807542,-0.175866,0.033408,True,1
9/3/2025 6:00:00 AM,9/3/2025 2:00:00 AM,1,PJM-RTO,,,ZONE,,16.90,16.832909,-0.103857,0.036766,True,1
9/3/2025 7:00:00 AM,9/3/2025 3:00:00 AM,1,PJM-RTO,,,ZONE,,15.52,15.461071,-0.084795,0.025866,True,1
9/3/2025 8:00:00 AM,9/3/2025 4:00:00 AM,1,PJM-RTO,,,ZONE,,16.25,16.183287,-0.089171,0.022458,True,1
9/3/2025 9:00:00 AM,9/3/2025 5:00:00 AM,1,PJM-RTO,,,ZONE,,19.85,19.670298,-0.237819,0.058117,True,1
9/3/2025 10:00:00 AM,9/3/2025 6:00:00 AM,1,PJM-RTO,,,ZONE,,26.36,26.387173,-0.018528,0.045702,True,1
9/3/2025 11:00:00 AM,9/3/2025 7:00:00 AM,1,PJM-RTO,,,ZONE,,27.01,27.121008,-0.023065,0.134073,True,1
9/3/2025 12:00:00 PM,9/3/2025 8:00:00 AM,1,PJM-RTO,,,ZONE,,19.91,20.520301,0.528482,0.081820,True,1
9/3/2025 1:00:00 PM,9/3/2025 9:00:00 AM,1,PJM-RTO,,,ZONE,,19.08,20.149007,0.953861,0.115146,True,1
9/3/2025 2:00:00 PM,9/3/2025 10:00:00 AM,1,PJM-RTO,,,ZONE,,20.51,21.173845,0.556846,0.107000,True,1
9/3/2025 3:00:00 PM,9/3/2025 11:00:00 AM,1,PJM-RTO,,,ZONE,,21.54,22.105843,0.477876,0.087967,True,1
9/3/2025 4:00:00 PM,9/3/2025 12:00:00 PM,1,PJM-RTO,,,ZONE,,23.28,23.925320,0.558761,0.086559,True,1
