ProjectID,Date,"Hour (Eastern Time, Daylight-Adjusted)",Electricity Generated,Capacity Factor
,YYYY-MM-DD,hr,kW,%
373,2022-07-18,1,0.0,0.0
373,2022-07-18,2,0.0,0.0
373,2022-07-18,3,0.0,0.0
373,2022-07-18,4,0.0,0.0
373,2022-07-18,5,0.0,0.0
373,2022-07-18,6,0.0,0.0
373,2022-07-18,7,60.0,2.3136098097055933
373,2022-07-18,8,130.0,5.012821254362119
373,2022-07-18,9,100.0,3.856016349509322
373,2022-07-18,10,110.0,4.241617984460254
373,2022-07-18,11,130.0,5.012821254362119
373,2022-07-18,12,340.0,13.110455588331696
373,2022-07-18,13,480.0,18.508878477644746
373,2022-07-18,14,180.0,6.940829429116779
373,2022-07-18,15,150.0,5.784024524263983
373,2022-07-18,16,390.0,15.038463763086357
373,2022-07-18,17,530.0,20.43688665239941
373,2022-07-18,18,240.0,9.254439238822373
373,2022-07-18,19,200.0,7.712032699018644
373,2022-07-18,20,50.0,1.928008174754661
373,2022-07-18,21,10.0,0.3856016349509322
373,2022-07-18,22,0.0,0.0
373,2022-07-18,23,10.0,0.3856016349509322
373,2022-07-19,0,0.0,0.0
