ProjectID,Date,"Hour (Eastern Time, Daylight-Adjusted)",Electricity Generated,Capacity Factor
,YYYY-MM-DD,hr,kW,%
389,2022-07-01,1,0.0,0.0
389,2022-07-01,2,0.0,0.0
389,2022-07-01,3,0.0,0.0
389,2022-07-01,4,0.0,0.0
389,2022-07-01,5,0.0,0.0
389,2022-07-01,6,5.0,0.5035855289662396
389,2022-07-01,7,63.5,6.395536217871244
389,2022-07-01,8,179.0,18.02836193699138
389,2022-07-01,9,307.5,30.970510031423736
389,2022-07-01,10,419.0,42.20046732737088
389,2022-07-01,11,514.5,51.81895093062606
389,2022-07-01,12,560.5,56.45193779711546
389,2022-07-01,13,534.0,53.78293449359439
389,2022-07-01,14,493.5,49.70389170896785
389,2022-07-01,15,503.0,50.6607042140037
389,2022-07-01,16,429.0,43.20763838530336
389,2022-07-01,17,249.5,25.12891789541536
389,2022-07-01,18,226.5,22.812424462170654
389,2022-07-01,19,79.0,7.956651357666586
389,2022-07-01,20,29.5,2.9711546209008137
389,2022-07-01,21,0.0,0.0
389,2022-07-01,22,0.0,0.0
389,2022-07-01,23,0.0,0.0
389,2022-07-02,0,0.5,0.050358552896623957
389,2022-07-02,1,0.0,0.0
389,2022-07-02,2,0.5,0.050358552896623957
389,2022-07-02,3,0.0,0.0
389,2022-07-02,4,0.0,0.0
389,2022-07-02,5,0.0,0.0
389,2022-07-02,6,1.0,0.10071710579324791
389,2022-07-02,7,30.0,3.021513173797438
389,2022-07-02,8,59.0,5.9423092418016275
389,2022-07-02,9,162.5,16.366529691402786
389,2022-07-02,10,304.5,30.668358714043993
389,2022-07-02,11,440.5,44.36588510192571
389,2022-07-02,12,483.5,48.69672065103538
389,2022-07-02,13,482.5,48.59600354524212
389,2022-07-02,14,430.0,43.308355491096606
389,2022-07-02,15,351.5,35.402062686326644
389,2022-07-02,16,168.5,16.970832326162274
389,2022-07-02,17,244.0,24.574973813552496
389,2022-07-02,18,201.5,20.294496817339457
389,2022-07-02,19,142.5,14.352187575537828
389,2022-07-02,20,23.5,2.3668519861413264
389,2022-07-02,21,0.0,0.0
389,2022-07-02,22,0.0,0.0
389,2022-07-02,23,0.0,0.0
389,2022-07-03,0,0.0,0.0
389,2022-07-03,1,0.5,0.050358552896623957
389,2022-07-03,2,0.0,0.0
389,2022-07-03,3,0.0,0.0
389,2022-07-03,4,0.0,0.0
389,2022-07-03,5,0.5,0.050358552896623957
389,2022-07-03,6,1.0,0.10071710579324791
389,2022-07-03,7,27.5,2.769720409314318
389,2022-07-03,8,47.0,4.733703972282653
389,2022-07-03,9,78.5,7.906292804769962
389,2022-07-03,10,173.5,17.474417855128515
389,2022-07-03,11,465.5,46.88381274675691
389,2022-07-03,12,532.5,53.63185883490452
389,2022-07-03,13,577.0,58.11377004270405
389,2022-07-03,14,550.0,55.394408186286356
389,2022-07-03,15,528.0,53.178631858834905
389,2022-07-03,16,450.5,45.37305615985819
389,2022-07-03,17,379.0,38.17178309564097
389,2022-07-03,18,269.5,27.14326001128032
389,2022-07-03,19,146.5,14.75505599871082
389,2022-07-03,20,31.0,3.1222302795906858
389,2022-07-03,21,0.0,0.0
389,2022-07-03,22,0.0,0.0
389,2022-07-03,23,0.0,0.0
389,2022-07-04,0,0.0,0.0
389,2022-07-04,1,0.5,0.050358552896623957
389,2022-07-04,2,0.0,0.0
389,2022-07-04,3,0.0,0.0
389,2022-07-04,4,0.0,0.0
389,2022-07-04,5,0.0,0.0
389,2022-07-04,6,2.5,0.2517927644831198
389,2022-07-04,7,57.0,5.740875030215132
389,2022-07-04,8,192.5,19.388042865200227
389,2022-07-04,9,337.5,33.99202320522117
389,2022-07-04,10,452.5,45.57449037144469
389,2022-07-04,11,550.0,55.394408186286356
389,2022-07-04,12,580.5,58.466279912980426
389,2022-07-04,13,568.0,57.20731609056482
389,2022-07-04,14,559.0,56.300862138425586
389,2022-07-04,15,515.0,51.869309483522684
389,2022-07-04,16,440.0,44.31552654902909
389,2022-07-04,17,365.0,36.76174361453549
389,2022-07-04,18,251.0,25.27999355410523
389,2022-07-04,19,142.0,14.301829022641204
389,2022-07-04,20,32.0,3.222947385383933
389,2022-07-04,21,0.0,0.0
389,2022-07-04,22,0.5,0.050358552896623957
389,2022-07-04,23,0.0,0.0
389,2022-07-05,0,0.0,0.0
389,2022-07-05,1,0.0,0.0
389,2022-07-05,2,0.0,0.0
389,2022-07-05,3,0.0,0.0
389,2022-07-05,4,0.5,0.050358552896623957
389,2022-07-05,5,0.0,0.0
389,2022-07-05,6,3.0,0.30215131737974377
389,2022-07-05,7,37.5,3.7768914672467973
389,2022-07-05,8,122.5,12.33784545967287
389,2022-07-05,9,267.5,26.94182579969382
389,2022-07-05,10,398.5,40.1357666586093
389,2022-07-05,11,533.5,53.73257594069777
389,2022-07-05,12,593.0,59.72524373539601
389,2022-07-05,13,592.0,59.62452662960277
389,2022-07-05,14,411.0,41.3947304810249
389,2022-07-05,15,198.0,19.94198694706309
389,2022-07-05,16,110.5,11.129240190153896
389,2022-07-05,17,44.0,4.431552654902909
389,2022-07-05,18,14.5,1.460398034002095
389,2022-07-05,19,67.5,6.798404641044235
389,2022-07-05,20,20.5,2.0647006687615823
389,2022-07-05,21,0.0,0.0
389,2022-07-05,22,0.0,0.0
389,2022-07-05,23,0.0,0.0
389,2022-07-06,0,0.0,0.0
389,2022-07-06,1,0.0,0.0
389,2022-07-06,2,0.5,0.050358552896623957
389,2022-07-06,3,0.0,0.0
389,2022-07-06,4,0.0,0.0
389,2022-07-06,5,0.0,0.0
389,2022-07-06,6,8.0,0.8057368463459833
389,2022-07-06,7,51.0,5.136572395455644
389,2022-07-06,8,145.0,14.60398034002095
389,2022-07-06,9,309.5,31.171944243010234
389,2022-07-06,10,339.0,34.14309886391105
389,2022-07-06,11,339.5,34.19345741680767
389,2022-07-06,12,482.5,48.59600354524212
389,2022-07-06,13,430.5,43.35871404399323
389,2022-07-06,14,348.0,35.04955281605028
389,2022-07-06,15,411.5,41.44508903392152
389,2022-07-06,16,367.5,37.01353637901861
389,2022-07-06,17,254.5,25.632503424381596
389,2022-07-06,18,299.0,30.11441463218113
389,2022-07-06,19,138.5,13.949319152364836
389,2022-07-06,20,21.5,2.16541777455483
389,2022-07-06,21,0.5,0.050358552896623957
389,2022-07-06,22,0.0,0.0
389,2022-07-06,23,0.0,0.0
389,2022-07-07,0,0.0,0.0
389,2022-07-07,1,0.0,0.0
389,2022-07-07,2,0.0,0.0
389,2022-07-07,3,0.0,0.0
389,2022-07-07,4,0.0,0.0
389,2022-07-07,5,0.0,0.0
389,2022-07-07,6,7.5,0.7553782934493595
389,2022-07-07,7,48.0,4.8344210780759
389,2022-07-07,8,94.0,9.467407944565306
389,2022-07-07,9,156.5,15.7622270566433
389,2022-07-07,10,245.5,24.726049472242366
389,2022-07-07,11,230.5,23.215292885343647
389,2022-07-07,12,528.0,53.178631858834905
389,2022-07-07,13,566.5,57.05624043187495
389,2022-07-07,14,576.5,58.06341148980743
389,2022-07-07,15,548.5,55.243332527596486
389,2022-07-07,16,477.5,48.092418016275886
389,2022-07-07,17,385.0,38.77608573040045
389,2022-07-07,18,227.0,22.86278301506728
389,2022-07-07,19,119.5,12.035694142293126
389,2022-07-07,20,36.0,3.625815808556925
389,2022-07-07,21,0.0,0.0
389,2022-07-07,22,0.0,0.0
389,2022-07-07,23,0.0,0.0
389,2022-07-08,0,0.0,0.0
389,2022-07-08,1,0.0,0.0
389,2022-07-08,2,0.0,0.0
389,2022-07-08,3,0.0,0.0
389,2022-07-08,4,0.5,0.050358552896623957
