Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
07/18/2022 00:00,CAPITL,61757,72.06,5.27,0.75
07/18/2022 00:00,CENTRL,61754,69.10,1.55,0.00
07/18/2022 00:00,DUNWOD,61760,75.41,7.09,-0.78
07/18/2022 00:00,GENESE,61753,69.03,1.48,0.00
07/18/2022 00:00,H Q,61844,65.52,-2.02,0.00
07/18/2022 00:00,HUD VL,61758,74.21,6.08,-0.59
07/18/2022 00:00,LONGIL,61762,91.38,8.51,-15.32
07/18/2022 00:00,MHK VL,61756,70.11,2.57,0.00
07/18/2022 00:00,MILLWD,61759,74.93,6.62,-0.77
07/18/2022 00:00,N.Y.C.,61761,76.23,7.90,-0.79
07/18/2022 00:00,NORTH,61755,65.18,-2.37,0.00
07/18/2022 00:00,NPX,61845,68.05,4.33,3.82
07/18/2022 00:00,O H,61846,67.81,0.27,0.00
07/18/2022 00:00,PJM,61847,71.60,3.64,-0.41
07/18/2022 00:00,WEST,61752,69.43,1.89,0.00
07/18/2022 01:00,CAPITL,61757,64.19,4.59,0.00
07/18/2022 01:00,CENTRL,61754,60.98,1.37,0.00
07/18/2022 01:00,DUNWOD,61760,65.92,6.32,0.00
07/18/2022 01:00,GENESE,61753,61.10,1.49,0.00
07/18/2022 01:00,H Q,61844,57.69,-1.91,0.00
07/18/2022 01:00,HUD VL,61758,65.08,5.48,0.00
07/18/2022 01:00,LONGIL,61762,89.24,7.63,-22.00
07/18/2022 01:00,MHK VL,61756,61.75,2.14,0.00
07/18/2022 01:00,MILLWD,61759,65.62,6.02,0.00
07/18/2022 01:00,N.Y.C.,61761,66.52,6.91,0.00
07/18/2022 01:00,NORTH,61755,57.34,-2.26,0.00
07/18/2022 01:00,NPX,61845,63.48,3.87,0.00
07/18/2022 01:00,O H,61846,60.08,0.47,0.00
07/18/2022 01:00,PJM,61847,63.00,3.40,0.00
07/18/2022 01:00,WEST,61752,61.51,1.91,0.00
07/18/2022 02:00,CAPITL,61757,59.62,4.26,0.00
07/18/2022 02:00,CENTRL,61754,56.52,1.16,0.00
07/18/2022 02:00,DUNWOD,61760,61.01,5.65,0.00
07/18/2022 02:00,GENESE,61753,56.46,1.11,0.00
07/18/2022 02:00,H Q,61844,53.64,-1.72,0.00
07/18/2022 02:00,HUD VL,61758,60.34,4.98,0.00
07/18/2022 02:00,LONGIL,61762,83.34,6.92,-21.06
07/18/2022 02:00,MHK VL,61756,57.35,1.99,0.00
07/18/2022 02:00,MILLWD,61759,60.79,5.43,0.00
07/18/2022 02:00,N.Y.C.,61761,61.45,6.09,0.00
07/18/2022 02:00,NORTH,61755,53.25,-2.10,0.00
07/18/2022 02:00,NPX,61845,58.95,3.60,0.00
07/18/2022 02:00,O H,61846,55.47,0.11,0.00
07/18/2022 02:00,PJM,61847,58.35,2.99,0.00
07/18/2022 02:00,WEST,61752,56.80,1.44,0.00
07/18/2022 03:00,CAPITL,61757,57.34,4.05,0.00
07/18/2022 03:00,CENTRL,61754,54.20,0.91,0.00
07/18/2022 03:00,DUNWOD,61760,58.89,5.59,0.00
07/18/2022 03:00,GENESE,61753,53.94,0.64,0.00
07/18/2022 03:00,H Q,61844,51.70,-1.60,0.00
07/18/2022 03:00,HUD VL,61758,58.19,4.90,0.00
07/18/2022 03:00,LONGIL,61762,60.13,6.82,-0.02
07/18/2022 03:00,MHK VL,61756,55.11,1.81,0.00
07/18/2022 03:00,MILLWD,61759,58.62,5.33,0.00
07/18/2022 03:00,N.Y.C.,61761,59.26,5.97,0.00
07/18/2022 03:00,NORTH,61755,51.48,-1.81,0.00
07/18/2022 03:00,NPX,61845,56.81,3.52,0.00
07/18/2022 03:00,O H,61846,52.98,-0.32,0.00
07/18/2022 03:00,PJM,61847,56.06,2.77,0.00
07/18/2022 03:00,WEST,61752,54.14,0.85,0.00
07/18/2022 04:00,CAPITL,61757,57.19,4.09,0.00
07/18/2022 04:00,CENTRL,61754,53.94,0.85,0.00
07/18/2022 04:00,DUNWOD,61760,58.57,5.47,0.00
07/18/2022 04:00,GENESE,61753,53.63,0.53,0.00
07/18/2022 04:00,H Q,61844,51.50,-1.59,0.00
07/18/2022 04:00,HUD VL,61758,57.93,4.83,0.00
07/18/2022 04:00,LONGIL,61762,71.70,6.69,-11.92
07/18/2022 04:00,MHK VL,61756,54.85,1.75,0.00
07/18/2022 04:00,MILLWD,61759,58.30,5.21,0.00
07/18/2022 04:00,N.Y.C.,61761,59.09,6.00,0.00
07/18/2022 04:00,NORTH,61755,51.19,-1.91,0.00
07/18/2022 04:00,NPX,61845,56.60,3.50,0.00
07/18/2022 04:00,O H,61846,52.57,-0.53,0.00
07/18/2022 04:00,PJM,61847,55.70,2.60,0.00
07/18/2022 04:00,WEST,61752,53.74,0.64,0.00
07/18/2022 05:00,CAPITL,61757,59.56,4.20,0.00
07/18/2022 05:00,CENTRL,61754,56.46,1.11,0.00
07/18/2022 05:00,DUNWOD,61760,61.00,5.65,0.00
07/18/2022 05:00,GENESE,61753,56.40,1.05,0.00
07/18/2022 05:00,H Q,61844,53.64,-1.72,0.00
07/18/2022 05:00,HUD VL,61758,60.28,4.92,0.00
07/18/2022 05:00,LONGIL,61762,77.21,6.92,-14.94
07/18/2022 05:00,MHK VL,61756,57.34,1.99,0.00
07/18/2022 05:00,MILLWD,61759,60.67,5.31,0.00
07/18/2022 05:00,N.Y.C.,61761,61.39,6.03,0.00
07/18/2022 05:00,NORTH,61755,53.36,-1.99,0.00
07/18/2022 05:00,NPX,61845,58.95,3.60,0.00
07/18/2022 05:00,O H,61846,55.35,0.00,0.00
07/18/2022 05:00,PJM,61847,58.28,2.93,0.00
07/18/2022 05:00,WEST,61752,56.63,1.27,0.00
07/18/2022 06:00,CAPITL,61757,64.20,4.48,0.00
07/18/2022 06:00,CENTRL,61754,61.21,1.49,0.00
07/18/2022 06:00,DUNWOD,61760,66.40,6.69,0.00
07/18/2022 06:00,GENESE,61753,60.85,1.13,0.00
07/18/2022 06:00,H Q,61844,57.87,-1.85,0.00
07/18/2022 06:00,HUD VL,61758,65.27,5.55,0.00
07/18/2022 06:00,LONGIL,61762,83.76,7.94,-16.10
07/18/2022 06:00,MHK VL,61756,62.17,2.45,0.00
07/18/2022 06:00,MILLWD,61759,65.93,6.21,0.00
07/18/2022 06:00,N.Y.C.,61761,66.82,7.10,0.00
07/18/2022 06:00,NORTH,61755,57.45,-2.27,0.00
07/18/2022 06:00,NPX,61845,63.66,3.94,0.00
07/18/2022 06:00,O H,61846,59.48,-0.24,0.00
07/18/2022 06:00,PJM,61847,63.06,3.34,0.00
07/18/2022 06:00,WEST,61752,61.09,1.37,0.00
07/18/2022 07:00,CAPITL,61757,69.06,5.03,0.44
07/18/2022 07:00,CENTRL,61754,65.82,1.36,0.00
07/18/2022 07:00,DUNWOD,61760,72.50,7.54,-0.50
07/18/2022 07:00,GENESE,61753,65.30,0.84,0.00
07/18/2022 07:00,H Q,61844,62.40,-2.07,0.00
07/18/2022 07:00,HUD VL,61758,71.09,6.25,-0.37
07/18/2022 07:00,LONGIL,61762,89.39,9.02,-15.90
07/18/2022 07:00,MHK VL,61756,67.11,2.64,0.00
07/18/2022 07:00,MILLWD,61759,71.98,7.03,-0.49
07/18/2022 07:00,N.Y.C.,61761,73.09,8.12,-0.50
07/18/2022 07:00,NORTH,61755,62.01,-2.45,0.00
07/18/2022 07:00,NPX,61845,66.10,4.39,2.75
07/18/2022 07:00,O H,61846,63.56,-0.90,0.00
07/18/2022 07:00,PJM,61847,68.14,3.41,-0.26
07/18/2022 07:00,WEST,61752,65.36,0.90,0.00
07/18/2022 08:00,CAPITL,61757,80.01,6.34,1.75
07/18/2022 08:00,CENTRL,61754,76.55,1.13,0.00
07/18/2022 08:00,DUNWOD,61760,86.55,9.12,-2.00
07/18/2022 08:00,GENESE,61753,75.42,0.00,0.00
07/18/2022 08:00,H Q,61844,70.60,-2.42,2.40
