"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"07/18/2022 00:05:00","CAPITL",61757,77.34,6.43,1.32
"07/18/2022 00:05:00","CENTRL",61754,73.61,1.37,0.00
"07/18/2022 00:05:00","DUNWOD",61760,81.21,7.65,-1.32
"07/18/2022 00:05:00","GENESE",61753,72.75,0.51,0.00
"07/18/2022 00:05:00","H Q",61844,70.14,-2.10,0.00
"07/18/2022 00:05:00","HUD VL",61758,79.67,6.43,-1.00
"07/18/2022 00:05:00","LONGIL",61762,108.93,9.03,-27.66
"07/18/2022 00:05:00","MHK VL",61756,75.13,2.89,0.00
"07/18/2022 00:05:00","MILLWD",61759,80.69,7.15,-1.29
"07/18/2022 00:05:00","N.Y.C.",61761,81.87,8.30,-1.32
"07/18/2022 00:05:00","NORTH",61755,70.22,-2.02,0.00
"07/18/2022 00:05:00","NPX",61845,70.47,4.69,6.46
"07/18/2022 00:05:00","O H",61846,70.58,-1.66,0.00
"07/18/2022 00:05:00","PJM",61847,76.41,3.47,-0.70
"07/18/2022 00:05:00","WEST",61752,72.10,-0.14,0.00
"07/18/2022 00:10:00","CAPITL",61757,66.67,5.28,0.00
"07/18/2022 00:10:00","CENTRL",61754,62.62,1.23,0.00
"07/18/2022 00:10:00","DUNWOD",61760,67.72,6.32,0.00
"07/18/2022 00:10:00","GENESE",61753,62.07,0.68,0.00
"07/18/2022 00:10:00","H Q",61844,59.55,-1.84,0.00
"07/18/2022 00:10:00","HUD VL",61758,66.73,5.34,0.00
"07/18/2022 00:10:00","LONGIL",61762,108.59,7.61,-39.58
"07/18/2022 00:10:00","MHK VL",61756,63.67,2.27,0.00
"07/18/2022 00:10:00","MILLWD",61759,67.35,5.95,0.00
"07/18/2022 00:10:00","N.Y.C.",61761,68.33,6.94,0.00
"07/18/2022 00:10:00","NORTH",61755,59.55,-1.84,0.00
"07/18/2022 00:10:00","NPX",61845,65.33,3.93,0.00
"07/18/2022 00:10:00","O H",61846,60.35,-1.04,0.00
"07/18/2022 00:10:00","PJM",61847,64.52,3.13,0.00
"07/18/2022 00:10:00","WEST",61752,61.64,0.25,0.00
"07/18/2022 00:15:00","CAPITL",61757,74.94,6.18,3.11
"07/18/2022 00:15:00","CENTRL",61754,73.09,1.22,0.00
"07/18/2022 00:15:00","DUNWOD",61760,82.52,7.54,-3.11
"07/18/2022 00:15:00","GENESE",61753,72.44,0.57,0.00
"07/18/2022 00:15:00","H Q",61844,69.78,-2.09,0.00
"07/18/2022 00:15:00","HUD VL",61758,80.63,6.39,-2.37
"07/18/2022 00:15:00","LONGIL",61762,108.77,9.13,-27.78
"07/18/2022 00:15:00","MHK VL",61756,74.53,2.66,0.00
"07/18/2022 00:15:00","MILLWD",61759,82.10,7.19,-3.05
"07/18/2022 00:15:00","N.Y.C.",61761,83.39,8.40,-3.11
"07/18/2022 00:15:00","NORTH",61755,69.71,-2.15,0.00
"07/18/2022 00:15:00","NPX",61845,61.34,4.67,15.20
"07/18/2022 00:15:00","O H",61846,70.36,-1.51,0.00
"07/18/2022 00:15:00","PJM",61847,77.11,3.59,-1.65
"07/18/2022 00:15:00","WEST",61752,71.87,0.00,0.00
"07/18/2022 00:15:12","CAPITL",61757,55.90,4.44,0.82
"07/18/2022 00:15:12","CENTRL",61754,53.17,0.89,0.00
"07/18/2022 00:15:12","DUNWOD",61760,58.74,5.65,-0.82
"07/18/2022 00:15:12","GENESE",61753,52.69,0.42,0.00
"07/18/2022 00:15:12","H Q",61844,50.71,-1.57,0.00
"07/18/2022 00:15:12","HUD VL",61758,57.61,4.71,-0.62
"07/18/2022 00:15:12","LONGIL",61762,108.42,6.75,-49.40
"07/18/2022 00:15:12","MHK VL",61756,54.21,1.94,0.00
"07/18/2022 00:15:12","MILLWD",61759,58.41,5.34,-0.80
"07/18/2022 00:15:12","N.Y.C.",61761,59.36,6.27,-0.82
"07/18/2022 00:15:12","NORTH",61755,50.66,-1.62,0.00
"07/18/2022 00:15:12","NPX",61845,51.74,3.45,3.99
