Time Stamp,Name,Zone PTID,LBMP ($/MWHr)
7/20/22 00:00,MHK VL,61756,84.92
7/20/22 01:00,MHK VL,61756,76.74
7/20/22 02:00,MHK VL,61756,70.34
7/20/22 03:00,MHK VL,61756,66.22
7/20/22 04:00,MHK VL,61756,67.39
7/20/22 05:00,MHK VL,61756,68.97
7/20/22 06:00,MHK VL,61756,76.72
7/20/22 07:00,MHK VL,61756,89.32
7/20/22 08:00,MHK VL,61756,97.98
7/20/22 09:00,MHK VL,61756,102.19
7/20/22 10:00,MHK VL,61756,111
7/20/22 11:00,MHK VL,61756,109.67
7/20/22 12:00,MHK VL,61756,125.09
7/20/22 13:00,MHK VL,61756,117.92
7/20/22 14:00,MHK VL,61756,122.36
7/20/22 15:00,MHK VL,61756,146.65
7/20/22 16:00,MHK VL,61756,186.52
7/20/22 17:00,MHK VL,61756,207.44
7/20/22 18:00,MHK VL,61756,173.58
7/20/22 19:00,MHK VL,61756,168.58
7/20/22 20:00,MHK VL,61756,118.69
7/20/22 21:00,MHK VL,61756,107.87
7/20/22 22:00,MHK VL,61756,106.18
7/20/22 23:00,MHK VL,61756,96
