Time Stamp,Name,Zone PTID,LBMP ($/MWHr)
7/20/22 00:00,MHK VL,61756,100.54
7/20/22 00:05,MHK VL,61756,40.67
7/20/22 00:10,MHK VL,61756,67.32
7/20/22 00:15,MHK VL,61756,69.71
7/20/22 00:20,MHK VL,61756,74.68
7/20/22 00:25,MHK VL,61756,82.81
7/20/22 00:30,MHK VL,61756,70.08
7/20/22 00:35,MHK VL,61756,44.12
7/20/22 00:40,MHK VL,61756,62.47
7/20/22 00:45,MHK VL,61756,63.28
7/20/22 00:50,MHK VL,61756,44.23
7/20/22 00:55,MHK VL,61756,42.22
7/20/22 01:00,MHK VL,61756,44.12
7/20/22 01:05,MHK VL,61756,49.75
7/20/22 01:10,MHK VL,61756,68.6
7/20/22 01:15,MHK VL,61756,68.3
7/20/22 01:20,MHK VL,61756,40.81
7/20/22 01:25,MHK VL,61756,61.69
7/20/22 01:30,MHK VL,61756,62.53
7/20/22 01:35,MHK VL,61756,63.05
7/20/22 01:40,MHK VL,61756,44
7/20/22 01:45,MHK VL,61756,44
7/20/22 01:50,MHK VL,61756,35.75
7/20/22 01:55,MHK VL,61756,36.85
7/20/22 02:00,MHK VL,61756,55.93
7/20/22 02:05,MHK VL,61756,42.05
7/20/22 02:10,MHK VL,61756,36.71
7/20/22 02:15,MHK VL,61756,55.31
7/20/22 02:20,MHK VL,61756,59.05
7/20/22 02:25,MHK VL,61756,60.15
7/20/22 02:30,MHK VL,61756,39.87
7/20/22 02:35,MHK VL,61756,46.86
7/20/22 02:40,MHK VL,61756,46.86
7/20/22 02:45,MHK VL,61756,39.94
7/20/22 02:50,MHK VL,61756,35.34
7/20/22 02:55,MHK VL,61756,41.49
7/20/22 03:00,MHK VL,61756,46.9
7/20/22 03:05,MHK VL,61756,46.9
7/20/22 03:10,MHK VL,61756,29.48
7/20/22 03:15,MHK VL,61756,53.43
7/20/22 03:20,MHK VL,61756,48.28
7/20/22 03:25,MHK VL,61756,53.32
7/20/22 03:30,MHK VL,61756,57.24
7/20/22 03:35,MHK VL,61756,49.75
7/20/22 03:40,MHK VL,61756,56.78
7/20/22 03:45,MHK VL,61756,49.95
7/20/22 03:50,MHK VL,61756,54.44
7/20/22 03:55,MHK VL,61756,48.66
7/20/22 04:00,MHK VL,61756,57.59
7/20/22 04:05,MHK VL,61756,46.55
7/20/22 04:10,MHK VL,61756,49.72
7/20/22 04:15,MHK VL,61756,54.46
7/20/22 04:20,MHK VL,61756,51.06
7/20/22 04:25,MHK VL,61756,50.96
7/20/22 04:30,MHK VL,61756,54.62
7/20/22 04:35,MHK VL,61756,57.22
7/20/22 04:40,MHK VL,61756,52.5
7/20/22 04:45,MHK VL,61756,54.18
7/20/22 04:50,MHK VL,61756,57.38
7/20/22 04:55,MHK VL,61756,57.59
7/20/22 05:00,MHK VL,61756,54.37
7/20/22 05:05,MHK VL,61756,53.78
7/20/22 05:10,MHK VL,61756,32.09
7/20/22 05:15,MHK VL,61756,46.9
7/20/22 05:20,MHK VL,61756,56.74
7/20/22 05:25,MHK VL,61756,59.28
7/20/22 05:30,MHK VL,61756,61.6
7/20/22 05:35,MHK VL,61756,70.99
7/20/22 05:40,MHK VL,61756,68.79
7/20/22 05:45,MHK VL,61756,74.2
7/20/22 05:50,MHK VL,61756,76.19
7/20/22 05:55,MHK VL,61756,79.91
7/20/22 06:00,MHK VL,61756,51.59
7/20/22 06:05,MHK VL,61756,59.89
7/20/22 06:10,MHK VL,61756,60.38
7/20/22 06:15,MHK VL,61756,60.39
7/20/22 06:20,MHK VL,61756,61.96
7/20/22 06:25,MHK VL,61756,62.73
7/20/22 06:30,MHK VL,61756,62.73
7/20/22 06:35,MHK VL,61756,62.78
7/20/22 06:40,MHK VL,61756,62.78
7/20/22 06:45,MHK VL,61756,62.96
7/20/22 06:50,MHK VL,61756,63.16
7/20/22 06:55,MHK VL,61756,62.05
7/20/22 07:00,MHK VL,61756,63.48
7/20/22 07:05,MHK VL,61756,65.91
7/20/22 07:10,MHK VL,61756,64.06
7/20/22 07:15,MHK VL,61756,68.08
7/20/22 07:20,MHK VL,61756,65.92
7/20/22 07:25,MHK VL,61756,49.84
7/20/22 07:30,MHK VL,61756,72.88
7/20/22 07:35,MHK VL,61756,74.81
7/20/22 07:40,MHK VL,61756,91.54
7/20/22 07:45,MHK VL,61756,91.4
7/20/22 07:50,MHK VL,61756,91.57
7/20/22 07:55,MHK VL,61756,72.86
7/20/22 08:00,MHK VL,61756,66.04
7/20/22 08:05,MHK VL,61756,71.54
7/20/22 08:10,MHK VL,61756,90.99
7/20/22 08:15,MHK VL,61756,88.85
7/20/22 08:20,MHK VL,61756,90.75
7/20/22 08:25,MHK VL,61756,90.89
7/20/22 08:30,MHK VL,61756,90.89
7/20/22 08:35,MHK VL,61756,91.12
7/20/22 08:40,MHK VL,61756,90.96
7/20/22 08:45,MHK VL,61756,90.87
7/20/22 08:50,MHK VL,61756,91.05
7/20/22 08:55,MHK VL,61756,91.14
7/20/22 09:00,MHK VL,61756,91.68
7/20/22 09:05,MHK VL,61756,99.9
7/20/22 09:10,MHK VL,61756,99.7
7/20/22 09:15,MHK VL,61756,99.7
7/20/22 09:20,MHK VL,61756,100.85
7/20/22 09:25,MHK VL,61756,99.7
7/20/22 09:30,MHK VL,61756,99.7
7/20/22 09:35,MHK VL,61756,99.8
7/20/22 09:40,MHK VL,61756,104.24
7/20/22 09:45,MHK VL,61756,99.92
7/20/22 09:50,MHK VL,61756,107.46
7/20/22 09:55,MHK VL,61756,100.98
7/20/22 10:00,MHK VL,61756,111.01
7/20/22 10:05,MHK VL,61756,124.79
7/20/22 10:10,MHK VL,61756,124.67
7/20/22 10:15,MHK VL,61756,116.88
7/20/22 10:20,MHK VL,61756,111.51
7/20/22 10:25,MHK VL,61756,113.61
7/20/22 10:30,MHK VL,61756,108.01
7/20/22 10:35,MHK VL,61756,106.47
7/20/22 10:40,MHK VL,61756,108.22
7/20/22 10:45,MHK VL,61756,112.46
7/20/22 10:50,MHK VL,61756,116.99
7/20/22 10:55,MHK VL,61756,116.99
7/20/22 11:00,MHK VL,61756,114.02
7/20/22 11:05,MHK VL,61756,134.06
7/20/22 11:10,MHK VL,61756,130.46
7/20/22 11:15,MHK VL,61756,127.08
7/20/22 11:20,MHK VL,61756,124.67
7/20/22 11:25,MHK VL,61756,120.34
7/20/22 11:30,MHK VL,61756,127.32
7/20/22 11:35,MHK VL,61756,138.85
7/20/22 11:40,MHK VL,61756,134.11
7/20/22 11:45,MHK VL,61756,130.28
7/20/22 11:50,MHK VL,61756,127.31
7/20/22 11:55,MHK VL,61756,124.67
7/20/22 12:00,MHK VL,61756,150.12
7/20/22 12:05,MHK VL,61756,154.87
7/20/22 12:10,MHK VL,61756,144.98
7/20/22 12:15,MHK VL,61756,138.39
7/20/22 12:20,MHK VL,61756,130.15
7/20/22 12:25,MHK VL,61756,132.51
7/20/22 12:30,MHK VL,61756,167.91
7/20/22 12:35,MHK VL,61756,235.2
7/20/22 12:38,MHK VL,61756,173.2
7/20/22 12:40,MHK VL,61756,234.31
7/20/22 12:40,MHK VL,61756,234.31
7/20/22 12:45,MHK VL,61756,196.85
7/20/22 12:50,MHK VL,61756,196.85
7/20/22 12:55,MHK VL,61756,235.56
7/20/22 13:00,MHK VL,61756,154.42
7/20/22 13:05,MHK VL,61756,128.5
7/20/22 13:10,MHK VL,61756,162.6
7/20/22 13:15,MHK VL,61756,166
7/20/22 13:20,MHK VL,61756,139.37
7/20/22 13:25,MHK VL,61756,113.12
7/20/22 13:30,MHK VL,61756,166.63
7/20/22 13:35,MHK VL,61756,154.56
7/20/22 13:40,MHK VL,61756,128.12
7/20/22 13:45,MHK VL,61756,147.41
7/20/22 13:50,MHK VL,61756,98.43
7/20/22 13:55,MHK VL,61756,77.29
7/20/22 14:00,MHK VL,61756,98.14
7/20/22 14:05,MHK VL,61756,168.29
7/20/22 14:10,MHK VL,61756,165
7/20/22 14:15,MHK VL,61756,156.11
7/20/22 14:20,MHK VL,61756,88.28
7/20/22 14:25,MHK VL,61756,90.47
7/20/22 14:30,MHK VL,61756,116.79
7/20/22 14:35,MHK VL,61756,154.39
7/20/22 14:40,MHK VL,61756,166.98
7/20/22 14:45,MHK VL,61756,167.29
7/20/22 14:50,MHK VL,61756,168.25
7/20/22 14:55,MHK VL,61756,162.98
7/20/22 15:00,MHK VL,61756,174.99
7/20/22 15:05,MHK VL,61756,174.99
7/20/22 15:10,MHK VL,61756,174.99
7/20/22 15:15,MHK VL,61756,174.99
7/20/22 15:20,MHK VL,61756,174.99
7/20/22 15:25,MHK VL,61756,174.99
7/20/22 15:30,MHK VL,61756,160.39
7/20/22 15:35,MHK VL,61756,160.39
7/20/22 15:40,MHK VL,61756,160.39
7/20/22 15:45,MHK VL,61756,160.39
7/20/22 15:50,MHK VL,61756,160.39
7/20/22 15:55,MHK VL,61756,160.39
7/20/22 16:00,MHK VL,61756,158.85
7/20/22 16:05,MHK VL,61756,138.57
7/20/22 16:10,MHK VL,61756,504.33
7/20/22 16:15,MHK VL,61756,109.8
7/20/22 16:20,MHK VL,61756,126.79
7/20/22 16:25,MHK VL,61756,164.84
7/20/22 16:30,MHK VL,61756,94.65
7/20/22 16:35,MHK VL,61756,102.09
7/20/22 16:40,MHK VL,61756,116.64
7/20/22 16:45,MHK VL,61756,141.05
7/20/22 16:50,MHK VL,61756,119.7
7/20/22 16:55,MHK VL,61756,104.82
7/20/22 17:00,MHK VL,61756,369.32
7/20/22 17:05,MHK VL,61756,144.56
7/20/22 17:10,MHK VL,61756,284.6
7/20/22 17:15,MHK VL,61756,652.83
7/20/22 17:20,MHK VL,61756,652.84
7/20/22 17:25,MHK VL,61756,657.88
7/20/22 17:30,MHK VL,61756,653.14
7/20/22 17:35,MHK VL,61756,137.16
7/20/22 17:40,MHK VL,61756,376.07
7/20/22 17:45,MHK VL,61756,394.07
7/20/22 17:50,MHK VL,61756,160.63
7/20/22 17:55,MHK VL,61756,110.9
7/20/22 18:00,MHK VL,61756,50.81
7/20/22 18:05,MHK VL,61756,47.45
7/20/22 18:10,MHK VL,61756,49.05
7/20/22 18:15,MHK VL,61756,-10.05
7/20/22 18:20,MHK VL,61756,3.15
7/20/22 18:25,MHK VL,61756,47.88
7/20/22 18:30,MHK VL,61756,13.16
7/20/22 18:35,MHK VL,61756,8.61
7/20/22 18:40,MHK VL,61756,3.14
7/20/22 18:45,MHK VL,61756,3.15
7/20/22 18:50,MHK VL,61756,3.16
7/20/22 18:55,MHK VL,61756,3.15
7/20/22 19:00,MHK VL,61756,576.85
7/20/22 19:05,MHK VL,61756,37.88
7/20/22 19:07,MHK VL,61756,64.63
7/20/22 19:10,MHK VL,61756,620.6
7/20/22 19:10,MHK VL,61756,620.6
7/20/22 19:15,MHK VL,61756,615.56
7/20/22 19:20,MHK VL,61756,615.56
7/20/22 19:25,MHK VL,61756,600.15
7/20/22 19:30,MHK VL,61756,599.13
7/20/22 19:35,MHK VL,61756,620.62
7/20/22 19:40,MHK VL,61756,600.8
7/20/22 19:45,MHK VL,61756,35.1
7/20/22 19:50,MHK VL,61756,-4.33
7/20/22 19:55,MHK VL,61756,10.23
7/20/22 20:00,MHK VL,61756,35.5
7/20/22 20:05,MHK VL,61756,35.37
7/20/22 20:10,MHK VL,61756,34.63
7/20/22 20:15,MHK VL,61756,27.03
7/20/22 20:20,MHK VL,61756,34.5
7/20/22 20:25,MHK VL,61756,34.48
7/20/22 20:30,MHK VL,61756,34.45
7/20/22 20:35,MHK VL,61756,34.42
7/20/22 20:40,MHK VL,61756,34.45
7/20/22 20:45,MHK VL,61756,34.49
7/20/22 20:50,MHK VL,61756,35.39
7/20/22 20:55,MHK VL,61756,35.79
7/20/22 21:00,MHK VL,61756,35.19
7/20/22 21:05,MHK VL,61756,36.74
7/20/22 21:10,MHK VL,61756,60.9
7/20/22 21:15,MHK VL,61756,35.71
7/20/22 21:20,MHK VL,61756,52.26
7/20/22 21:25,MHK VL,61756,42.06
7/20/22 21:30,MHK VL,61756,34.97
7/20/22 21:35,MHK VL,61756,-15
7/20/22 21:40,MHK VL,61756,33.59
7/20/22 21:45,MHK VL,61756,34.94
7/20/22 21:50,MHK VL,61756,36.4
7/20/22 21:55,MHK VL,61756,28.02
7/20/22 22:00,MHK VL,61756,59.85
7/20/22 22:05,MHK VL,61756,58.31
7/20/22 22:10,MHK VL,61756,42.64
7/20/22 22:15,MHK VL,61756,25.97
7/20/22 22:20,MHK VL,61756,21.21
7/20/22 22:25,MHK VL,61756,25.98
7/20/22 22:30,MHK VL,61756,30.43
7/20/22 22:35,MHK VL,61756,32.61
7/20/22 22:40,MHK VL,61756,32.82
7/20/22 22:45,MHK VL,61756,32.99
7/20/22 22:50,MHK VL,61756,23.86
7/20/22 22:55,MHK VL,61756,25.57
7/20/22 23:00,MHK VL,61756,51.16
7/20/22 23:05,MHK VL,61756,49.45
7/20/22 23:10,MHK VL,61756,97.82
7/20/22 23:15,MHK VL,61756,42.76
7/20/22 23:20,MHK VL,61756,17.62
7/20/22 23:25,MHK VL,61756,22.36
7/20/22 23:30,MHK VL,61756,28.63
7/20/22 23:35,MHK VL,61756,37.84
7/20/22 23:40,MHK VL,61756,38.15
7/20/22 23:45,MHK VL,61756,37.77
7/20/22 23:50,MHK VL,61756,45.2
7/20/22 23:55,MHK VL,61756,70.23
