datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,row_is_current,version_nbr
9/1/2025 4:00:00 AM,9/1/2025 12:00:00 AM,1,PJM-RTO,,,ZONE,,16.450000,16.501561,0.041772,0.009789,True,1
9/1/2025 4:05:00 AM,9/1/2025 12:05:00 AM,1,PJM-RTO,,,ZONE,,18.670000,18.686130,0.009298,0.006832,True,1
9/1/2025 4:10:00 AM,9/1/2025 12:10:00 AM,1,PJM-RTO,,,ZONE,,19.790000,19.805603,0.010102,0.005501,True,1
9/1/2025 4:15:00 AM,9/1/2025 12:15:00 AM,1,PJM-RTO,,,ZONE,,18.830000,18.848066,0.008900,0.009166,True,1
9/1/2025 4:20:00 AM,9/1/2025 12:20:00 AM,1,PJM-RTO,,,ZONE,,16.490000,16.506197,0.006829,0.009368,True,1
9/1/2025 4:25:00 AM,9/1/2025 12:25:00 AM,1,PJM-RTO,,,ZONE,,17.080000,17.111735,0.024439,0.007296,True,1
9/1/2025 4:30:00 AM,9/1/2025 12:30:00 AM,1,PJM-RTO,,,ZONE,,15.230000,15.251576,0.017021,0.004555,True,1
9/1/2025 4:35:00 AM,9/1/2025 12:35:00 AM,1,PJM-RTO,,,ZONE,,15.230000,15.251576,0.017021,0.004555,True,1
9/1/2025 4:40:00 AM,9/1/2025 12:40:00 AM,1,PJM-RTO,,,ZONE,,16.080000,16.122117,0.034546,0.007571,True,1
9/1/2025 4:45:00 AM,9/1/2025 12:45:00 AM,1,PJM-RTO,,,ZONE,,16.030000,16.066860,0.033004,0.003856,True,1
9/1/2025 4:50:00 AM,9/1/2025 12:50:00 AM,1,PJM-RTO,,,ZONE,,15.930000,15.965244,0.024711,0.010533,True,1
9/1/2025 4:55:00 AM,9/1/2025 12:55:00 AM,1,PJM-RTO,,,ZONE,,15.240000,15.256474,0.005264,0.011210,True,1
9/1/2025 5:00:00 AM,9/1/2025 1:00:00 AM,1,PJM-RTO,,,ZONE,,13.290000,13.330021,0.036518,0.003503,True,1
9/1/2025 5:05:00 AM,9/1/2025 1:05:00 AM,1,PJM-RTO,,,ZONE,,15.710000,15.748278,0.031205,0.007074,True,1
9/1/2025 5:10:00 AM,9/1/2025 1:10:00 AM,1,PJM-RTO,,,ZONE,,20.970000,21.030675,0.046915,0.013760,True,1
9/1/2025 5:15:00 AM,9/1/2025 1:15:00 AM,1,PJM-RTO,,,ZONE,,17.520000,17.563260,0.031648,0.011613,True,1
9/1/2025 5:20:00 AM,9/1/2025 1:20:00 AM,1,PJM-RTO,,,ZONE,,16.690000,16.719068,0.016613,0.012455,True,1
9/1/2025 5:25:00 AM,9/1/2025 1:25:00 AM,1,PJM-RTO,,,ZONE,,16.690000,16.719068,0.016613,0.012455,True,1
9/1/2025 5:30:00 AM,9/1/2025 1:30:00 AM,1,PJM-RTO,,,ZONE,,23.420000,23.480552,0.047016,0.013535,True,1
9/1/2025 5:35:00 AM,9/1/2025 1:35:00 AM,1,PJM-RTO,,,ZONE,,21.060000,21.113893,0.042366,0.011527,True,1
