t,s,P_DA,P_RT,P_PN,P_IN
0,0,91.143,54.77610674757614,182.286,182.286
0,1,91.143,38.315224815058635,182.286,182.286
0,2,91.143,59.33892434181994,182.286,182.286
0,3,91.143,54.7491110254692,182.286,182.286
0,4,91.143,54.148807303441664,182.286,182.286
0,5,91.143,50.53472415362498,182.286,182.286
0,6,91.143,45.48945824093922,182.286,182.286
0,7,91.143,62.13313222256381,182.286,182.286
0,8,91.143,49.30316875956417,182.286,182.286
0,9,91.143,47.98541890165425,182.286,182.286
0,10,91.143,62.207910976448254,182.286,182.286
0,11,91.143,58.51519983875484,182.286,182.286
0,12,91.143,42.67677710912586,182.286,182.286
0,13,91.143,57.89043442582161,182.286,182.286
0,14,91.143,44.67824252375256,182.286,182.286
0,15,91.143,68.79924227246896,182.286,182.286
0,16,91.143,71.55457912591298,182.286,182.286
0,17,91.143,57.11404107153057,182.286,182.286
0,18,91.143,71.25697578487672,182.286,182.286
0,19,91.143,40.47161035837227,182.286,182.286
0,20,91.143,57.55597195441388,182.286,182.286
0,21,91.143,39.895215792981666,182.286,182.286
0,22,91.143,54.460087676954196,182.286,182.286
0,23,91.143,41.14942174008316,182.286,182.286
0,24,91.143,42.37892623942383,182.286,182.286
0,25,91.143,61.22891248256288,182.286,182.286
0,26,91.143,46.347021571639715,182.286,182.286
0,27,91.143,41.567488979798036,182.286,182.286
0,28,91.143,46.11798092433247,182.286,182.286
0,29,91.143,51.31714600345975,182.286,182.286
0,30,91.143,56.05231725514472,182.286,182.286
0,31,91.143,45.372830032599104,182.286,182.286
0,32,91.143,62.98155897740976,182.286,182.286
0,33,91.143,56.665777861064065,182.286,182.286
0,34,91.143,57.555595821895366,182.286,182.286
0,35,91.143,52.805055518281726,182.286,182.286
0,36,91.143,69.13251154908893,182.286,182.286
0,37,91.143,60.556893901394716,182.286,182.286
0,38,91.143,43.789452887557154,182.286,182.286
0,39,91.143,65.40393898542447,182.286,182.286
0,40,91.143,75.99328686823209,182.286,182.286
0,41,91.143,57.34572024754996,182.286,182.286
0,42,91.143,72.98140913306526,182.286,182.286
0,43,91.143,50.98747641160384,182.286,182.286
0,44,91.143,60.04066869181744,182.286,182.286
0,45,91.143,54.43695139417938,182.286,182.286
0,46,91.143,54.80630784459184,182.286,182.286
0,47,91.143,68.44695959818783,182.286,182.286
0,48,91.143,58.77459913157981,182.286,182.286
0,49,91.143,75.55940037966077,182.286,182.286
1,0,80.275,48.61792700322043,160.55,160.55
1,1,80.275,33.36310690779227,160.55,160.55
1,2,80.275,42.74640045026553,160.55,160.55
1,3,80.275,58.74049741626404,160.55,160.55
1,4,80.275,44.06461687462733,160.55,160.55
1,5,80.275,31.55104872912631,160.55,160.55
1,6,80.275,38.81263926511306,160.55,160.55
1,7,80.275,32.86957425096904,160.55,160.55
1,8,80.275,63.461120177599064,160.55,160.55
1,9,80.275,62.692898153465315,160.55,160.55
1,10,80.275,57.07039985780925,160.55,160.55
1,11,80.275,50.519656423287316,160.55,160.55
1,12,80.275,55.90516138194189,160.55,160.55
1,13,80.275,36.239372645761726,160.55,160.55
1,14,80.275,40.32606133416296,160.55,160.55
1,15,80.275,47.953043049111756,160.55,160.55
1,16,80.275,42.42559557271482,160.55,160.55
1,17,80.275,32.16097975028733,160.55,160.55
1,18,80.275,63.10794981325837,160.55,160.55
1,19,80.275,45.22263867139428,160.55,160.55
1,20,80.275,47.29062993291664,160.55,160.55
1,21,80.275,41.33349386170937,160.55,160.55
1,22,80.275,39.22750546150717,160.55,160.55
1,23,80.275,43.42469343289511,160.55,160.55
1,24,80.275,58.118781302405935,160.55,160.55
1,25,80.275,54.97382850366532,160.55,160.55
1,26,80.275,43.171191453881825,160.55,160.55
1,27,80.275,31.082786730195238,160.55,160.55
1,28,80.275,56.97620587097638,160.55,160.55
