DER,Hour,hourly_da,hourly_rt,hourly_pen,hourly_total
0,0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,0.0
0,2,0.0,0.0,0.0,0.0
0,3,0.0,0.0,0.0,0.0
0,4,0.0,0.0,0.0,0.0
0,5,0.0,0.0,0.0,0.0
0,6,0.0,0.0,0.0,0.0
0,7,0.0,0.0,0.0,0.0
0,8,0.0,1998.5164354236595,0.0,1998.5164354236595
0,9,490.82800000000003,0.0,0.0,490.82800000000003
0,10,0.0,4196.592264820915,0.0,4196.592264820915
0,11,10835.890000000001,0.0,0.0,10835.890000000001
0,12,0.0,16358.047646225146,0.0,16358.047646225146
0,13,0.0,103220.3309171814,0.0,103220.3309171814
0,14,7741.461,0.0,0.0,7741.461
0,15,0.0,70680.1506729803,0.0,70680.1506729803
0,16,3026.1530000000002,0.0,0.0,3026.1530000000002
0,17,0.0,0.0,0.0,0.0
0,18,4620.928,0.0,0.0,4620.928
0,19,3765.853,0.0,0.0,3765.853
0,20,7327.372000000001,0.0,0.0,7327.372000000001
0,21,1605.5,0.0,0.0,1605.5
0,22,0.0,0.0,0.0,0.0
0,23,0.0,0.0,0.0,0.0
1,0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0
1,3,0.0,0.0,0.0,0.0
1,4,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0
1,6,0.0,0.0,0.0,0.0
1,7,380.06800000000004,0.0,0.0,380.06800000000004
1,8,0.0,1465.5787193106837,0.0,1465.5787193106837
1,9,7117.006,0.0,0.0,7117.006
1,10,0.0,18228.94765031585,0.0,18228.94765031585
1,11,14403.805,0.0,0.0,14403.805
1,12,0.0,58234.649620561526,0.0,58234.649620561526
1,13,0.0,130133.60738331766,0.0,130133.60738331766
1,14,10111.296,0.0,0.0,10111.296
1,15,0.0,75940.06886259743,0.0,75940.06886259743
1,16,51088.583000000006,0.0,0.0,51088.583000000006
1,17,50240.060000000005,0.0,0.0,50240.060000000005
1,18,9386.26,0.0,0.0,9386.26
1,19,9998.989,0.0,0.0,9998.989
1,20,505.33600000000007,0.0,0.0,505.33600000000007
1,21,0.0,0.0,0.0,0.0
1,22,0.0,0.0,0.0,0.0
1,23,0.0,0.0,0.0,0.0
2,0,0.0,0.0,0.0,0.0
2,1,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,0.0
2,3,0.0,0.0,0.0,0.0
2,4,0.0,0.0,0.0,0.0
2,5,0.0,0.0,0.0,0.0
2,6,173.732,0.0,0.0,173.732
2,7,95.01700000000001,0.0,0.0,95.01700000000001
2,8,0.0,2131.7508644519035,0.0,2131.7508644519035
2,9,4049.331,0.0,0.0,4049.331
2,10,0.0,27015.562704784643,0.0,27015.562704784643
2,11,34225.555,0.0,0.0,34225.555
2,12,0.0,15921.83304232581,0.0,15921.83304232581
2,13,0.0,117468.53610513589,0.0,117468.53610513589
2,14,76940.643,0.0,0.0,76940.643
2,15,0.0,35175.702893064605,0.0,35175.702893064605
2,16,9790.495,0.0,0.0,9790.495
2,17,27012.635000000002,0.0,0.0,27012.635000000002
2,18,23104.64,0.0,0.0,23104.64
2,19,4934.566,0.0,0.0,4934.566
2,20,1768.6760000000002,0.0,0.0,1768.6760000000002
2,21,123.5,0.0,0.0,123.5
2,22,0.0,0.0,0.0,0.0
2,23,0.0,0.0,0.0,0.0
3,0,0.0,0.0,0.0,0.0
3,1,0.0,0.0,0.0,0.0
3,2,0.0,0.0,0.0,0.0
3,3,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0
3,5,0.0,0.0,0.0,0.0
3,6,0.0,0.0,0.0,0.0
3,7,0.0,0.0,0.0,0.0
3,8,0.0,666.1721451412199,0.0,666.1721451412199
3,9,2699.554,0.0,0.0,2699.554
3,10,0.0,12589.776794462745,0.0,12589.776794462745
3,11,12157.34,0.0,0.0,12157.34
3,12,0.0,29880.7003671046,0.0,29880.7003671046
3,13,0.0,137416.02336827217,0.0,137416.02336827217
3,14,48660.612,0.0,0.0,48660.612
3,15,0.0,184425.8815234509,0.0,184425.8815234509
3,16,74229.75300000001,0.0,0.0,74229.75300000001
3,17,57122.26,0.0,0.0,57122.26
3,18,10830.3,0.0,0.0,10830.3
3,19,41943.811,0.0,0.0,41943.811
3,20,4674.358000000001,0.0,0.0,4674.358000000001
3,21,1729.0,0.0,0.0,1729.0
3,22,0.0,0.0,0.0,0.0
3,23,0.0,0.0,0.0,0.0
4,0,0.0,0.0,0.0,0.0
4,1,0.0,0.0,0.0,0.0
4,2,0.0,0.0,0.0,0.0
4,3,0.0,0.0,0.0,0.0
4,4,0.0,0.0,0.0,0.0
4,5,0.0,0.0,0.0,0.0
4,6,0.0,0.0,0.0,0.0
4,7,285.05100000000004,0.0,0.0,285.05100000000004
4,8,0.0,399.70328708473187,0.0,399.70328708473187
4,9,2699.554,0.0,0.0,2699.554
4,10,0.0,1704.8656075834967,0.0,1704.8656075834967
4,11,17971.72,0.0,0.0,17971.72
4,12,0.0,22901.266704715206,0.0,22901.266704715206
