seed,i,t,var,value
4,0,0,x_ind,0.0
4,0,1,x_ind,0.0
4,0,2,x_ind,0.0
4,0,3,x_ind,0.0
4,0,4,x_ind,0.0
4,0,5,x_ind,0.0
4,0,6,x_ind,0.0
4,0,7,x_ind,39.064536189884635
4,0,8,x_ind,228.16306550303784
4,0,9,x_ind,209.26000489754568
4,0,10,x_ind,365.81023257848005
4,0,11,x_ind,281.50970898848135
4,0,12,x_ind,237.88532752473415
4,0,13,x_ind,0.0
4,0,14,x_ind,39.97831056029377
4,0,15,x_ind,93.04049852689353
4,0,16,x_ind,134.06285243395453
4,0,17,x_ind,141.70368183388436
4,0,18,x_ind,134.68795043578476
4,0,19,x_ind,53.20705103705413
4,0,20,x_ind,43.452365037094914
4,0,21,x_ind,0.7587758108460222
4,0,22,x_ind,0.0
4,0,23,x_ind,0.0
4,1,0,x_ind,0.0
4,1,1,x_ind,0.0
4,1,2,x_ind,0.0
4,1,3,x_ind,0.0
4,1,4,x_ind,0.0
4,1,5,x_ind,0.0
4,1,6,x_ind,0.0
4,1,7,x_ind,11.69994455758126
4,1,8,x_ind,104.01383499519427
4,1,9,x_ind,122.21651576995868
4,1,10,x_ind,159.72773828982466
4,1,11,x_ind,178.97196555718529
4,1,12,x_ind,187.7157741016679
4,1,13,x_ind,0.0
4,1,14,x_ind,177.6023294222829
4,1,15,x_ind,463.0525270233339
4,1,16,x_ind,147.94538766041808
4,1,17,x_ind,184.85517370652772
4,1,18,x_ind,199.85457441208789
4,1,19,x_ind,97.49170862179832
4,1,20,x_ind,54.18752970829684
4,1,21,x_ind,23.58266610099378
4,1,22,x_ind,0.0
4,1,23,x_ind,0.0
4,2,0,x_ind,0.0
4,2,1,x_ind,0.0
4,2,2,x_ind,0.0
4,2,3,x_ind,0.0
4,2,4,x_ind,0.0
4,2,5,x_ind,0.0
4,2,6,x_ind,0.0
4,2,7,x_ind,0.0
4,2,8,x_ind,0.0
4,2,9,x_ind,237.11776319036898
4,2,10,x_ind,186.67861023631343
4,2,11,x_ind,154.75536268200622
4,2,12,x_ind,227.525631824894
4,2,13,x_ind,0.0
4,2,14,x_ind,139.22064271663587
4,2,15,x_ind,492.16763370956295
4,2,16,x_ind,835.5381954604441
4,2,17,x_ind,540.7399553989961
4,2,18,x_ind,772.6922893832584
4,2,19,x_ind,351.2995061839332
4,2,20,x_ind,121.87249181266793
4,2,21,x_ind,129.52082682617737
4,2,22,x_ind,8.687850224449505
4,2,23,x_ind,12.047736668409012
4,3,0,x_ind,0.0
4,3,1,x_ind,0.0
4,3,2,x_ind,0.0
4,3,3,x_ind,0.0
4,3,4,x_ind,0.0
4,3,5,x_ind,0.0
4,3,6,x_ind,0.0
4,3,7,x_ind,0.0
4,3,8,x_ind,8.073944801736582
4,3,9,x_ind,9.11454559749534
4,3,10,x_ind,93.76244622455455
4,3,11,x_ind,273.5093746692733
4,3,12,x_ind,750.5899201452602
4,3,13,x_ind,0.0
4,3,14,x_ind,244.29043510250034
4,3,15,x_ind,1083.6419658493064
4,3,16,x_ind,1373.0252137967375
4,3,17,x_ind,763.5974970907624
4,3,18,x_ind,666.236396286854
4,3,19,x_ind,278.9186433208846
4,3,20,x_ind,242.43771026693446
4,3,21,x_ind,142.3429050400487
4,3,22,x_ind,0.0
4,3,23,x_ind,0.0
4,4,0,x_ind,0.0
4,4,1,x_ind,0.0
4,4,2,x_ind,0.0
4,4,3,x_ind,0.0
4,4,4,x_ind,0.0
4,4,5,x_ind,0.0
4,4,6,x_ind,0.0
4,4,7,x_ind,4.713377919322287
4,4,8,x_ind,42.50015025890358
4,4,9,x_ind,67.75946036563454
4,4,10,x_ind,46.60003891357267
4,4,11,x_ind,66.96986720263159
4,4,12,x_ind,47.96032457695531
4,4,13,x_ind,0.0
4,4,14,x_ind,90.88048023461648
4,4,15,x_ind,452.28644751947246
4,4,16,x_ind,544.0075343884206
4,4,17,x_ind,148.48282736436005
4,4,18,x_ind,51.18492655323936
4,4,19,x_ind,104.09977207858309
4,4,20,x_ind,31.797287862576518
4,4,21,x_ind,19.36340129979589
4,4,22,x_ind,0.0
4,4,23,x_ind,0.0
4,5,0,x_ind,0.0
4,5,1,x_ind,0.0
4,5,2,x_ind,0.0
4,5,3,x_ind,0.0
4,5,4,x_ind,0.0
4,5,5,x_ind,0.0
4,5,6,x_ind,0.0
4,5,7,x_ind,0.0
4,5,8,x_ind,171.508429484577
4,5,9,x_ind,79.65044264200732
4,5,10,x_ind,116.96664343214188
4,5,11,x_ind,176.073175622168
4,5,12,x_ind,448.8269306711567
4,5,13,x_ind,0.0
4,5,14,x_ind,402.5399852279775
4,5,15,x_ind,1831.810236721411
4,5,16,x_ind,1337.0839706067438
4,5,17,x_ind,365.8539811309011
4,5,18,x_ind,573.6163929775597
4,5,19,x_ind,305.09636380821456
4,5,20,x_ind,161.9570246681086
4,5,21,x_ind,57.40164878183444
4,5,22,x_ind,0.0
4,5,23,x_ind,0.0
4,6,0,x_ind,0.0
4,6,1,x_ind,0.0
4,6,2,x_ind,0.0
4,6,3,x_ind,0.0
4,6,4,x_ind,0.0
4,6,5,x_ind,0.0
4,6,6,x_ind,0.0
4,6,7,x_ind,11.205027528173348
4,6,8,x_ind,160.17865547073586
4,6,9,x_ind,262.20593954228207
4,6,10,x_ind,203.7157223053624
4,6,11,x_ind,227.9099995574621
4,6,12,x_ind,161.85360529027815
4,6,13,x_ind,0.0
4,6,14,x_ind,100.34373242679463
4,6,15,x_ind,279.80271586783493
4,6,16,x_ind,262.70024693673275
4,6,17,x_ind,353.7348233629099
4,6,18,x_ind,681.0929961000953
4,6,19,x_ind,165.19083582204283
4,6,20,x_ind,75.72584751366416
4,6,21,x_ind,16.925672360521496
4,6,22,x_ind,0.0
4,6,23,x_ind,0.0
4,7,0,x_ind,0.0
4,7,1,x_ind,0.0
4,7,2,x_ind,0.0
4,7,3,x_ind,0.0
4,7,4,x_ind,0.0
4,7,5,x_ind,0.0
4,7,6,x_ind,0.0
4,7,7,x_ind,0.0
4,7,8,x_ind,28.819468307051718
4,7,9,x_ind,20.610418149783726
4,7,10,x_ind,55.13639699676227
4,7,11,x_ind,115.9621465484414
4,7,12,x_ind,244.9929410590452
4,7,13,x_ind,0.0
4,7,14,x_ind,92.36939843440868
4,7,15,x_ind,350.7735177273736
4,7,16,x_ind,536.363964550609
4,7,17,x_ind,321.4347639395457
4,7,18,x_ind,243.59903714227792
4,7,19,x_ind,109.9605847931732
4,7,20,x_ind,85.63726850329881
4,7,21,x_ind,48.121339029924656
4,7,22,x_ind,0.0
4,7,23,x_ind,0.0
4,8,0,x_ind,0.0
4,8,1,x_ind,0.0
4,8,2,x_ind,0.0
4,8,3,x_ind,0.0
4,8,4,x_ind,0.0
4,8,5,x_ind,0.0
4,8,6,x_ind,0.0
4,8,7,x_ind,22.771451746289134
4,8,8,x_ind,58.06600539793948
4,8,9,x_ind,73.4237696670639
4,8,10,x_ind,85.83204760807665
4,8,11,x_ind,87.48998220767206
4,8,12,x_ind,159.86861261731127
4,8,13,x_ind,0.0
4,8,14,x_ind,194.76014949682457
4,8,15,x_ind,823.8799776147755
4,8,16,x_ind,857.8045443865781
4,8,17,x_ind,410.6854709348296
4,8,18,x_ind,176.68052109269374
4,8,19,x_ind,171.14066325076013
4,8,20,x_ind,109.94394625337193
4,8,21,x_ind,58.95093615665266
4,8,22,x_ind,0.0
4,8,23,x_ind,0.0
4,9,0,x_ind,0.0
4,9,1,x_ind,0.0
4,9,2,x_ind,0.0
4,9,3,x_ind,0.0
4,9,4,x_ind,0.0
4,9,5,x_ind,0.0
4,9,6,x_ind,0.0
4,9,7,x_ind,0.0
4,9,8,x_ind,76.90336047415275
4,9,9,x_ind,77.77717151884262
4,9,10,x_ind,72.8255049797814
4,9,11,x_ind,105.85375413555747
4,9,12,x_ind,101.93853844730936
4,9,13,x_ind,0.0
4,9,14,x_ind,137.95639485307495
4,9,15,x_ind,512.4568320526637
4,9,16,x_ind,345.52872121597284
4,9,17,x_ind,257.6662136481281
4,9,18,x_ind,144.83558447425713
4,9,19,x_ind,52.95854987505906
4,9,20,x_ind,58.72473005135099
4,9,21,x_ind,0.0
4,9,22,x_ind,0.0
4,9,23,x_ind,0.0
4,0,SUM,x_ind,2002.5843613579698
4,1,SUM,x_ind,2112.9176699271516
4,2,SUM,x_ind,4209.864496318117
4,3,SUM,x_ind,5929.5409981923485
4,4,SUM,x_ind,1718.6058965380844
4,5,SUM,x_ind,6028.385225774801
4,6,SUM,x_ind,2962.5858200848897
4,7,SUM,x_ind,2253.781245181696
4,8,SUM,x_ind,3291.298078430839
4,9,SUM,x_ind,1945.4253557261504
4,0,0,yp_ind,0.0
4,0,1,yp_ind,0.0
4,0,2,yp_ind,0.0
4,0,3,yp_ind,0.0
4,0,4,yp_ind,0.0
4,0,5,yp_ind,0.0
4,0,6,yp_ind,4.001598151773402
4,0,7,yp_ind,44.52604995117304
4,0,8,yp_ind,65.29433617079015
4,0,9,yp_ind,49.59850898087184
4,0,10,yp_ind,84.7528122621756
4,0,11,yp_ind,108.44374220827598
4,0,12,yp_ind,89.44880842918614
4,0,13,yp_ind,282.9763205484114
4,0,14,yp_ind,107.4707593490311
4,0,15,yp_ind,1.6371866483160449
4,0,16,yp_ind,7.658819070383668
4,0,17,yp_ind,29.11577102736737
4,0,18,yp_ind,36.51853538057873
4,0,19,yp_ind,2.139665676435622
4,0,20,yp_ind,1.8386403697458003
4,0,21,yp_ind,6.8389076214808195
4,0,22,yp_ind,10.816121774673443
4,0,23,yp_ind,1.8614109120553486
4,1,0,yp_ind,0.0
4,1,1,yp_ind,0.0
4,1,2,yp_ind,0.0
4,1,3,yp_ind,0.0
4,1,4,yp_ind,0.0
4,1,5,yp_ind,0.0
4,1,6,yp_ind,0.6148411121483762
4,1,7,yp_ind,24.649431758534227
4,1,8,yp_ind,13.916072610491794
4,1,9,yp_ind,28.33161699726111
4,1,10,yp_ind,25.733917596156175
4,1,11,yp_ind,45.20969994232988
4,1,12,yp_ind,42.83619545223955
4,1,13,yp_ind,542.5536433826976
4,1,14,yp_ind,283.9818417488695
4,1,15,yp_ind,63.949604397615715
4,1,16,yp_ind,14.98134198622921
4,1,17,yp_ind,16.859461989371916
4,1,18,yp_ind,59.11692424946733
4,1,19,yp_ind,17.916925874832614
4,1,20,yp_ind,5.665999251038882
4,1,21,yp_ind,6.262867480086457
4,1,22,yp_ind,16.0828264944648
4,1,23,yp_ind,3.3670081196246118
4,2,0,yp_ind,0.0
4,2,1,yp_ind,0.0
4,2,2,yp_ind,0.0
4,2,3,yp_ind,0.0
4,2,4,yp_ind,0.0
4,2,5,yp_ind,0.0
4,2,6,yp_ind,0.0
4,2,7,yp_ind,0.0
4,2,8,yp_ind,0.36874951769822145
4,2,9,yp_ind,27.814510929661484
4,2,10,yp_ind,22.432075904272708
4,2,11,yp_ind,19.98213743370762
4,2,12,yp_ind,41.52068573489409
4,2,13,yp_ind,459.87618761289434
4,2,14,yp_ind,166.47810365231507
4,2,15,yp_ind,59.11657381972191
4,2,16,yp_ind,108.8615503647958
4,2,17,yp_ind,101.25540637514034
4,2,18,yp_ind,251.32979741754298
4,2,19,yp_ind,101.08212036419201
4,2,20,yp_ind,14.673541836760535
4,2,21,yp_ind,19.923412427375325
