,seed,var,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,RowSum
i0,1,dm_hol,9.647002600480198e-06,1.102550380416532e-05,1.182107638937242e-05,1.2353560143534522e-05,1.2914647986696766e-05,1.3423611019409562e-05,0.05844199259730323,0.025625046559827044,28.08567025955425,34.72591645927893,75.2017416513778,62.62606816256056,55.24249247876615,9.47370230481652e-06,33.28462768161093,45.686649632226434,52.353792281302574,45.770771533131345,42.958994931106155,12.792936190201436,3.8299401460807143,0.051447195162520026,1.760639864881721e-05,1.8474965101475133e-05,492.6952323819849
i1,1,dm_hol,9.64741929738881e-06,1.1030334245165533e-05,1.185835217940918e-05,1.252336072150784e-05,1.3045664507515932e-05,1.348846249569056e-05,0.20988876795053713,1.836093395431124,15.32989607290603,30.10016646404632,19.1854091714062,32.18364691115864,42.7950739829045,9.47369861201947e-06,90.5800393700715,96.20108625683491,49.748734973750864,42.79483028446832,62.222822425848655,18.87102554532843,4.201896758892508,0.33536468737375785,1.710882429109205e-05,1.849567218592936e-05,506.59609174016083
i2,1,dm_hol,9.648466706076878e-06,1.104374004653966e-05,1.2028936724779762e-05,1.2712248992331977e-05,1.3192278032634357e-05,1.3759836318817254e-05,1.3511393316753455,46.7014232328654,22.634767759199654,43.910561435868274,34.91029832339865,26.77932736137097,57.05268058363753,9.473699097270048e-06,39.84692108637512,139.97089656137538,116.16401765890713,86.59775116341635,106.19544948195545,49.83925836492495,6.816232068320017,7.286627167924754,1.704579759478299e-05,1.8585198911107413e-05,786.0574690714175
i3,1,dm_hol,9.647464996634646e-06,1.1032107162798047e-05,1.1871270024711225e-05,1.2574918661147564e-05,1.3077555873272861e-05,1.3520756062601909e-05,0.7843647717775479,27.81956589479081,22.29090470973624,21.777576796681227,15.239571769788963,36.060273115541904,78.53171024030082,9.47369849580903e-06,53.6581218745413,140.9460554116556,154.1122334042455,66.29522604903222,105.4359400541164,36.1867118573623,17.825108377827156,2.736971774725691,1.6986789138107605e-05,1.8454290083821205e-05,779.7004527409742
i4,1,dm_hol,9.64814960032036e-06,1.1037664130565906e-05,1.1957346146383137e-05,1.2609515180602877e-05,1.3182520466192148e-05,1.3646788458654765e-05,0.4332509589092491,1.6123749854737865,8.164771562333144,10.971213096179135,7.732527685859696,10.617699493546194,11.600192732668187,9.473705811261996e-06,24.015514614910735,87.33344398900024,112.5000253119999,40.44182417871731,15.235582847204217,27.738973704367826,2.2733263197309963,7.707381523314558e-05,1.7038777017615484e-05,1.8458702542423425e-05,360.67091560788526
i5,1,dm_hol,9.647808321926796e-06,1.1037410885542144e-05,1.19577854507058e-05,1.2574382498307674e-05,1.307634350123504e-05,1.36386707069989e-05,0.5129480347523053,29.658653994996897,22.67328498206512,19.795436245549674,20.241440252267275,30.907584407595902,61.00095964333702,9.473697800011603e-06,90.05957748121801,127.47885462303383,143.89966176211684,92.16699980333759,94.47874858754741,35.48443422373104,7.899406541659751,0.21470648461132127,1.712701733594714e-05,1.8547287812597696e-05,776.4728141482243
i6,1,dm_hol,9.647171263727903e-06,1.1027344610464176e-05,1.1837296630707505e-05,1.2398299082810524e-05,1.2923560871740602e-05,1.34542820389084e-05,0.5039076780025834,4.260486993846847,32.393680001971966,42.901496219735506,42.83751746235376,40.10883900393899,39.99261688147199,0.2304075530271933,38.89489555453063,124.80441398677198,96.95872947797051,51.260584112133685,81.44293078814688,35.40978708537597,5.4210807470279345,0.36083368427846113,1.6953434907874334e-05,1.8460566530165533e-05,637.7823139325408
i7,1,dm_hol,9.647695498087586e-06,1.1033607279042455e-05,1.1886214943049932e-05,1.2636138070505842e-05,1.317533459583792e-05,1.3539662840144468e-05,0.5265858552038066,8.963014699790609,8.19547780174505,8.63382302326607,8.946628878747072,18.02103280430751,54.49562725235908,9.473699719748584e-06,27.489147650631825,83.01517297420773,91.95127312761528,63.9316225423993,68.45088455686891,25.341043950781973,7.322185228944927,0.5241058410512252,1.7255330719053275e-05,1.852682092251803e-05,475.80774336242496
i8,1,dm_hol,9.647781612973621e-06,1.1034993971247887e-05,1.1915977917821521e-05,1.2507803981878025e-05,1.307700221796566e-05,1.3570972648951488e-05,0.5734348474012518,2.5952497436841835,15.672178311675875,12.480163619517487,15.400695136585137,16.900145542115,44.2519692654978,9.473699514155117e-06,52.88750801391827,113.73536343038266,143.49135789497802,64.68289733841704,70.33452865260286,32.2770386667506,9.764012434478134,0.00011491140334098992,1.6923341720745956e-05,1.8450629379145024e-05,595.0467744116106
i9,1,dm_hol,9.64767356729687e-06,1.1032907043642478e-05,1.1874873860494391e-05,1.2549345038369666e-05,1.3055401456010228e-05,1.3533330681094948e-05,0.7428298438621772,14.489650834586755,15.593604333112564,11.570002707699715,14.381086701416152,15.475747753150243,22.10953827075028,9.473701166143547e-06,34.37995136931254,95.92145551935329,82.73272504290613,52.804004324089185,42.10877137035575,12.635947375983708,3.579037082199469,5.120442781024151e-05,1.7280094135508196e-05,1.8514442500080383e-05,418.5245206949752
