,seed,var,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,RowSum
i0,3,dm_re,4.136289757895398e-07,4.731297841749938e-07,5.072103601757718e-07,5.308542528806141e-07,5.546208982343496e-07,5.836716590961058e-07,0.22421974214044166,0.944600918958635,42.887018898179186,37.29342962977606,47.5469674099468,63.94024643646489,71.47204057312248,4.181019563252678e-07,30.585297895012836,48.40510808343013,51.069953780449275,48.43459506737608,48.734042742906084,13.099704643989146,3.362524211868545,0.07737135196139037,7.697662124920964e-07,8.08120763081463e-07,508.0771264446868
i1,3,dm_re,4.1364603825377147e-07,4.733168239678986e-07,5.090220277222197e-07,5.396038065651468e-07,5.669898598444269e-07,5.867166808396843e-07,0.6077711519074314,1.708572344480064,18.635889268266684,19.29292333854004,23.991096775745227,33.983219892010354,42.99367075850667,4.181019847052297e-07,56.712357335967454,135.96671626090037,55.02332486369319,42.77912377830657,55.38626425976927,15.690570593881137,4.200102575465297,0.3028811495522969,7.710154491880307e-07,8.079347177243855e-07,507.2744894333395
i2,3,dm_re,4.137063808321502e-07,4.741165630052218e-07,5.167198447752801e-07,5.496318248983579e-07,5.756179051106802e-07,5.972964332087079e-07,2.4562523119905846,46.446506474723,29.300093793393856,23.46867892516925,34.35566579886095,24.52107862454769,45.53963208858716,4.181019826061641e-07,38.76496617988469,136.71204634691472,94.05067498575364,63.79250354343145,97.04014031475637,58.95672183327978,6.538185251706068,11.365979360974775,7.656067506820042e-07,8.14378773262607e-07,713.3091309591505
i3,3,dm_re,4.136875031018526e-07,4.7390523321517655e-07,5.151673830600886e-07,5.423916279396648e-07,5.668982292901541e-07,5.945430430795525e-07,1.4656642715435924,29.76028632040513,21.75833641699057,20.426234949982998,22.922205136213314,30.69660962269402,92.60719914829973,4.1810198948272586e-07,52.924970505522886,196.4053685395563,132.01459959427007,102.46905571622742,125.2481213379856,33.280741349488935,23.557801163297494,5.695979971436327,7.622026296502051e-07,7.987882791721311e-07,891.2331791296003
i4,3,dm_re,4.1367745207057707e-07,4.7373262392896563e-07,5.127705316457736e-07,5.446701792607338e-07,5.72467488238557e-07,5.923097715774107e-07,0.5606413435762229,1.786203638824818,9.571297215566513,14.446694451007206,11.083604311026718,13.749569857168261,13.994895694318545,4.1810190691500723e-07,34.74448077337585,89.16607856000616,73.98062130518719,47.134481889250026,17.39522056347278,24.468761369523506,1.8357436829721892,1.2254511111939156e-05,7.669855251589547e-07,8.011396704096041e-07,353.9183120056422
i5,3,dm_re,4.1369382189916553e-07,4.7397466296289173e-07,5.15612866514333e-07,5.43632268950356e-07,5.666152188615821e-07,5.949748572839701e-07,0.9934929376648445,29.411186008615456,19.928233718785677,18.579785542963076,32.46585525331238,25.594792767477482,50.74622284002394,4.181019908917424e-07,77.63482025952919,75.28801331227191,111.50640896127891,73.29565403495928,95.39073105840562,31.136561291823924,5.837477336241591,0.2479504176913668,7.663507151665043e-07,8.078856812077971e-07,648.0571908418867
i6,3,dm_re,4.1363324157957894e-07,4.731396807260953e-07,5.070428386115019e-07,5.344511326419473e-07,5.615748647975152e-07,5.836763646215335e-07,0.3592560191693178,6.112638659292929,25.785313780200887,53.768401797515,35.79000656290083,30.868142927518885,39.50591781450395,4.1810196840944933e-07,35.097653371040444,87.46982633587855,92.86619220041133,63.200510285611024,88.46962299260142,22.69697836588765,4.0429432823707545,0.3215720185180328,7.695540895485357e-07,8.080961731261743e-07,586.3549814826913
i7,3,dm_re,4.13705723853826e-07,4.741356769101802e-07,5.177247968223718e-07,5.446473298320718e-07,5.708171024114263e-07,5.974071115304878e-07,0.5525689595951662,12.543305439586714,8.540431690801636,5.926651878030558,7.8012242038955115,22.219777657972426,51.117393971387926,4.181019725741571e-07,37.58616389370046,63.683932177542445,143.81443723619532,62.81066702827743,51.56585106688827,21.15582277105588,11.40817171505593,0.4171348161890439,7.735003046487721e-07,8.020270172680236e-07,501.14353961824173
i8,3,dm_re,4.1366917673913397e-07,4.736002963957879e-07,5.108575901521413e-07,5.414083661291723e-07,5.660013220229236e-07,5.895156526744038e-07,1.0310148888126232,4.158614956248971,12.855231833727778,15.431668741428133,13.608605302516478,17.50122133459989,49.404981602310635,4.181019755938774e-07,65.73692590390554,108.20297922519764,207.89769976811525,55.13940910844911,58.23954923144989,32.525100685176454,9.571811258375948,0.06853981917859221,7.708726252439027e-07,8.091157371482323e-07,651.3733587526357
i9,3,dm_re,4.136979462385767e-07,4.740125624222059e-07,5.157505527225006e-07,5.43914398755262e-07,5.705469871005974e-07,5.956967777999763e-07,1.0184834549391788,16.10363017612627,12.760777512216588,22.53877940075326,15.636786271905537,20.78089731099525,25.74894653724208,0.015526651952748338,37.14909744690765,122.0956374220534,79.79377970727438,64.12541858148322,35.12564281490266,7.281666855380061,3.242390841627501,6.262945145754292e-06,7.637838091392008e-07,8.02207935597715e-07,463.4174719283159
