,seed,var,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,RowSum
i0,8,dp_hol,3.792505522711536e-07,4.3469115159378913e-07,4.757588917135564e-07,5.010440389879371e-07,5.238262777084514e-07,5.477482924191993e-07,6.563090415901983,63.06615472750474,39.9004456445967,43.14209804427483,76.78221667653784,60.125886328260094,51.62293286389377,4.001416530566557e-07,14.573217971293673,8.116099868361815,11.349906365196048,31.39185083112022,20.906809667555404,5.829247603676988,1.6474419439685724,0.42260657991163564,6.859395330325528e-07,7.447197546161585e-07,435.4400102251745
i1,8,dp_hol,3.7924327519178337e-07,4.346160015124503e-07,4.752666247590469e-07,4.985443242823646e-07,5.200844809022334e-07,5.465210130449532e-07,0.9155109595855193,28.973469418308078,21.858608238925964,30.288255168360912,28.46376611152612,45.06325845148362,48.69125251152792,4.00142483828042e-07,62.01138740643646,81.57478629553981,15.02529282305092,35.80065579492919,27.056735249073085,14.192306830655298,3.1981161646900715,0.40743928104883476,7.129968859343197e-07,7.481235790106279e-07,443.5208454206805
i2,8,dp_hol,3.7919175837696674e-07,4.338405868537348e-07,4.655668429870007e-07,4.916928889301794e-07,5.137510720303758e-07,5.332088784034518e-07,3.789451247494931e-07,3.35958237054905e-07,1.650379090343629,39.57082428551901,30.73358751270289,25.22911881907447,29.487912591584337,4.0014239823393647e-07,41.12078882774292,44.46522507183586,119.53245584125162,95.19316554750418,166.53384198910047,61.66396722906582,8.533852494436958,4.577748190011131,7.189463801594674e-07,7.473070826718621e-07,668.2928728887246
i3,8,dp_hol,3.792148729145345e-07,4.341961908989859e-07,4.6965725049435936e-07,4.944961246701392e-07,5.169281920235918e-07,5.390271228157254e-07,0.15785672145734647,0.08402291916196578,8.291505165133824,14.30995595379468,21.241220857127733,32.611087046879476,124.36616972873591,4.0014247127535553e-07,57.30979397425247,175.00957743434677,213.6171388586682,138.09119695113483,154.07910964423326,41.27186006157905,27.529671439414013,3.406420496712506,6.955689053330728e-07,7.524647155938038e-07,1011.376591934328
i4,8,dp_hol,3.791988862433952e-07,4.339598603925743e-07,4.667580488081225e-07,4.930076197625966e-07,5.145812504172756e-07,5.347462059480256e-07,3.9553076546711397e-07,8.600840238502197,9.512303786489207,9.004008649537303,7.645126954887692,11.785320272472065,7.902125364443907,4.001422481597323e-07,25.18823000892235,60.36844179672834,103.4674078576818,28.508286649482947,7.463055571342063,27.71867393914507,3.62277275276313,0.5980996228590036,6.887626304798568e-07,7.473380915732022e-07,311.38469851928267
i5,8,dp_hol,3.792142239758302e-07,4.3418498918245617e-07,4.6953748194332733e-07,4.932988158107819e-07,5.149383150345978e-07,5.388786293751643e-07,0.8788707577766468,0.6314271664509117,47.57879013498969,16.511246122460108,26.590250523749614,20.483613455542994,67.63975046224678,4.001425089685208e-07,55.56545176290382,365.6696619267592,274.0217127528154,49.80594887937755,95.45174562061472,48.40382222785456,8.09467180433903,1.7575568772441463,7.037550269253178e-07,7.501846287588163e-07,1079.0845251592598
i6,8,dp_hol,3.7923222904899135e-07,4.3438912655973956e-07,4.7163600216044356e-07,4.975892213169905e-07,5.203313267415236e-07,5.41597414950107e-07,1.039532718883163,23.424966131566144,32.36348118200672,54.15501029822538,34.84989996871845,33.283470560911695,23.438707636943974,4.001423532024293e-07,33.78969016584973,35.098569990787574,23.587211683654118,64.22184403480223,126.4796103910674,25.147159610926632,4.008849269515139,0.9017847298399989,6.964665662479725e-07,7.468214860903593e-07,515.7897930619041
i7,8,dp_hol,3.792011614580122e-07,4.3405376577522186e-07,4.680202331143843e-07,4.92701222220188e-07,5.151143233211308e-07,5.371900997438468e-07,0.09176779542097854,0.03018087303373401,6.040657551965868,7.997325208845834,9.574061480965913,19.35438765655728,63.602772591611746,4.0014226718880465e-07,36.26682316052214,59.76600958970629,100.63798925442917,47.73981770473927,45.23093813239077,17.953357638088583,11.133322912338151,0.6804198333758056,6.824493147949343e-07,7.457256798280527e-07,426.0998360385896
i8,8,dp_hol,3.7920292710297563e-07,4.339838995284455e-07,4.6696026214272785e-07,4.929919554140868e-07,5.143492747287427e-07,5.350171069555112e-07,3.9479100835121147e-07,24.816610771278807,13.331504258757827,15.091472693578917,14.7479712107104,14.869291613994628,28.257673757152315,4.001424343747231e-07,54.49311025222359,144.27967970642794,140.70606190831663,48.24696770644196,27.612232834648236,26.989895674277328,9.378105759962498,0.8537742304357403,6.96287653266016e-07,7.496661641971128e-07,563.6743574415996
i9,8,dp_hol,3.791877716929776e-07,4.3386243012030056e-07,4.656306513270052e-07,4.937309746934559e-07,5.157269643109433e-07,5.33555272966123e-07,3.8412082142745e-07,0.27905807165780167,14.598316548091939,11.921349264648898,14.014245085406934,20.25187052455053,15.710631431779028,4.001423507440885e-07,41.13365395194191,67.27304757013906,44.39421450634909,38.87247688947955,20.128188711254033,6.8800896500002855,6.5415602268339805,0.658318964170025,6.932233880415488e-07,7.492359468995561e-07,302.65702644471963
