,seed,var,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,RowSum
i0,9,dp_re,4.36768683640651e-06,5.004482795149461e-06,5.445449303429593e-06,5.766732702069901e-06,6.028599417522553e-06,6.262102584079871e-06,3.9776922386808007,64.90291706732886,50.70068947898189,33.83013177060896,83.78780940094668,51.103713125170295,43.37469233006388,0.029607194314894048,15.053492212797398,9.45630807948199,12.927148431688558,27.29542797796483,19.600205171584843,6.0043900680968365,3.2273859931597575,0.7886897134194875,7.837847227745104e-06,8.478551555584653e-06,426.0603494457424
i1,9,dp_re,4.3676255183280575e-06,5.003859336682511e-06,5.441326617434911e-06,5.744243022111339e-06,6.017571111197302e-06,6.2502818886943684e-06,0.40865543704885643,28.60688100886956,12.4998328205965,23.69045646371601,25.7778428466344,36.017176505191856,47.8477401812596,0.03148692839340386,56.21146145011564,46.146503592008955,18.891560854073376,26.598004114876066,37.13573200028293,15.526328276523236,3.6544604238117855,0.8839932941467464,7.776151571437143e-06,8.483155353115141e-06,379.9281652817633
i2,9,dp_re,4.367259127170008e-06,4.999267332036019e-06,5.385625459926367e-06,5.6419666365448404e-06,5.900210873616416e-06,6.161416730048361e-06,4.388609807851623e-06,3.853241405602709e-06,3.500847271665711,30.983661531550503,32.192475428520055,27.155538608909268,37.70258981081877,0.03197431466076884,33.881542935365374,78.22758037885676,134.13991414837395,103.75344079481924,185.74455090315993,81.83310703386286,8.209130248059996,2.507318472065149,8.1356868842057e-06,8.590020354843456e-06,759.8637293039928
i3,9,dp_re,4.367376158485542e-06,5.000580875326562e-06,5.395967844086054e-06,5.6918588257665425e-06,5.934759706320047e-06,6.185402475260116e-06,0.1515292382560946,0.19694222235515835,9.64722894191467,17.131656031236993,25.35572637551745,46.67724222446522,119.19904155248321,0.018058370884691366,50.2897123449936,160.2838664894137,212.4766975099548,135.77247485757823,115.55043862049966,37.18749501568776,20.417484517585393,1.7753486531919436,7.878597940512882e-06,8.564943327363593e-06,952.1309919855057
i4,9,dp_re,4.367331853148063e-06,5.000110017170696e-06,5.392467589081317e-06,5.67495543098838e-06,5.926585937083775e-06,6.17507088567025e-06,4.483813141936312e-06,9.275885542782028,8.402011953103603,14.622168086727488,7.863709863244741,15.617510446111291,8.890730239424608,0.03069761213577894,36.37237285097072,59.40728012366198,80.62908598108136,29.576935066495448,7.169334672720277,24.129534460938252,3.0834634789356046,0.5117053859388545,7.857541887719942e-06,8.49272721181681e-06,305.58247913487594
i5,9,dp_re,4.3672147268589386e-06,4.998418818695253e-06,5.374137510801198e-06,5.6605389809568065e-06,5.911906246760325e-06,6.15598794445637e-06,0.34632522390381465,0.12894032356642748,39.86006446511438,18.13139890520359,22.438492858315225,25.348409283393092,54.16020425023434,0.03125930266513051,72.90832691019051,521.1450165518512,291.67272540573816,58.89859299810999,69.50198616882979,43.756278882116206,11.422877971569356,1.4049238648820996,7.900514853132106e-06,8.52842457549932e-06,1231.155872262827
i6,9,dp_re,4.367422190618785e-06,5.001133892527465e-06,5.401060765129766e-06,5.724699431678198e-06,5.962409902137314e-06,6.195568694777455e-06,0.7147744836865576,22.277575274483482,37.12469832142203,46.520615840154115,44.359143520806136,35.16561942528063,31.78978100616348,0.03189442331635968,33.89780942943165,20.67997977679615,32.945148692525855,47.01464656562053,149.3319265154357,24.66782750467608,2.5468828766953844,0.9960395839262887,7.80376022637923e-06,8.532570311096562e-06,530.0644122290458
i7,9,dp_re,4.367407724725884e-06,5.000932694631944e-06,5.398758346750244e-06,5.7040530123090895e-06,5.9408642463901004e-06,6.191266643358762e-06,0.0988741940012722,0.28377873257973013,5.511621032893994,8.03329037117048,10.822638505348511,14.992575955535239,67.08533781836427,0.031773469449608856,28.700398626285946,27.624340719763733,71.0034458417717,54.72840748409996,47.11045305114144,14.043075645691204,9.729942081742351,1.0454767804881508,7.766539912563385e-06,8.48105072250939e-06,360.84547916120084
i8,9,dp_re,4.367403962309014e-06,5.000920475839087e-06,5.39861191254998e-06,5.704056760424435e-06,5.954609529105514e-06,6.18589340058034e-06,4.513495449380541e-06,27.53041227770367,10.518357566552213,11.920185269624765,11.525742318437858,15.43177284306312,29.839254959211395,0.03155553227580972,61.45510894191839,108.359087349942,120.56290329457278,51.43850978766879,23.274588320413844,32.46756152059886,14.374468711813858,1.4827119600398655,7.914357303409994e-06,8.549996402479038e-06,520.2122742431825
i9,9,dp_re,4.367317440793623e-06,4.9999468755091186e-06,5.391144242872337e-06,5.668145165992699e-06,5.925943837923119e-06,6.171950705147804e-06,4.4600212197420064e-06,0.1779134498831754,14.397850356857175,16.884316229300854,11.706400431010398,22.59475623798638,19.475659009749087,0.012890917614387931,38.77615665471589,52.255515968058134,48.041313986078215,62.53900609342224,22.56705700562827,5.767783332481985,4.401712436643186,0.9728624963303448,7.983196033738294e-06,8.508308226486513e-06,320.5712480817335
