,seed,var,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,RowSum
i0,2,x_hol,1.742831676376165e-09,2.0136981723989757e-09,2.1756048768861684e-09,2.3170566323157177e-09,2.4988794780597115e-09,2.829317734419189e-09,4.89953549119175e-09,6.6832042283019374e-09,214.95477952168523,216.79337422819435,404.3323932047961,317.87669735743896,324.44838962605417,0.0,113.6429654337683,122.59560156758104,159.92434546514335,187.7064455583067,180.1570285016223,41.19390537806923,35.65893879479619,2.2116838016979328,1.8199311292165434e-07,3.2563168319766576e-06,2321.4965519026237
i1,2,x_hol,1.7428306540322936e-09,2.0136858722364787e-09,2.1755050457865386e-09,2.316517647498681e-09,2.498098819624769e-09,2.8290176955582406e-09,4.859767022800009e-09,6.56178684769588e-09,87.48011764431672,150.60556803429785,162.75362092415264,224.62459380134788,218.4597057101019,0.0,452.0090394315754,577.2659066304202,217.22082539678976,197.11990766112567,273.098621631642,136.68988089262294,47.28705049454009,4.862371023810491,1.817872460918956e-07,3.2042333830525273e-06,2749.4772126877615
i2,2,x_hol,1.7428275101589963e-09,2.013646551818925e-09,2.1750713461583603e-09,2.3159131745798492e-09,2.497857810908821e-09,2.827967727636437e-09,4.708179426867018e-09,6.154209731585916e-09,4.4361200344460045e-07,234.81974886004565,178.72959025384085,197.11072734011796,253.61652681964583,0.0,227.76522921641845,670.2724827184339,850.6686274610167,533.9765006027216,836.9938552457082,435.31527136926366,122.52676228638806,136.89604123573756,1.857556639492069e-07,3.2198522617109955e-06,4678.691367282994
i3,2,x_hol,1.7428285212773616e-09,2.013656089299971e-09,2.1751294908136733e-09,2.316161553233558e-09,2.4983459280241662e-09,2.8282175807282055e-09,4.84565031597791e-09,6.215199406559446e-09,23.254166631355957,41.000995822270845,95.56279847627405,343.27809255292584,861.8984534503347,0.0,400.5561366578101,1174.1830262006843,1261.9603578749136,751.3510765223364,710.5178725203779,354.93055367325263,298.4960354174045,8.882180917773399,1.815247033253881e-07,3.2546457330690475e-06,6325.8717501785195
i4,2,x_hol,1.74282945298151e-09,2.013657445482673e-09,2.1751615355271044e-09,2.3160693199734476e-09,2.4980208906994255e-09,2.828192277277595e-09,4.717604651298947e-09,6.509597332360088e-09,44.62536005800127,60.50691180345335,47.72526525454865,81.5918593323916,60.43385205483327,0.0,192.3665094215518,596.5881720488071,608.8587469155636,172.23701982157394,65.07003204758885,155.84115599354323,34.7795835008806,0.0021454110396912454,1.821820645167823e-07,3.2556884559674393e-06,2120.6266171264488
i5,2,x_hol,1.7428292935271238e-09,2.0136706508079238e-09,2.175366662723899e-09,2.316097276862095e-09,2.4979772870820966e-09,2.8286838883513368e-09,4.843190466164866e-09,6.219480552741593e-09,133.30751836635443,69.95134801826585,134.456963303683,183.11514078329324,482.1808291061275,0.0,702.3477945066923,1447.327650474219,1224.2661813239438,503.0851294486223,702.3235372271445,352.5860912558826,159.8190295238203,5.936773313604597,1.8205507265798133e-07,3.18623065895202e-06,6100.703990044576
i6,2,x_hol,1.7428295089001833e-09,2.0136706809829688e-09,2.1752734263471715e-09,2.3166417117574535e-09,2.4985821258512666e-09,2.8285529579261334e-09,4.86889255288955e-09,6.5118756819266735e-09,166.88407500199182,268.8957252093326,247.21475855489123,229.3083646580142,202.8641909052817,0.0,233.4781146598837,357.6681866388038,331.0777717356411,469.7749591210743,895.9556734226318,182.89517640650072,53.58260423428422,3.8675185105397643,1.8266279398006063e-07,3.2405470949708803e-06,3643.467122507037
i7,2,x_hol,1.7428285134777614e-09,2.0136554017870907e-09,2.175147321827662e-09,2.315991266950096e-09,2.4979484384051107e-09,2.8281878747586064e-09,4.836321299043909e-09,6.196709447447832e-09,24.930209513103577,16.48017497046019,45.528254761077854,124.12107425620516,387.72826351905,0.0,205.81093758776177,363.1898860042435,631.3256505534804,397.7389776397653,383.8362970644164,127.5924380190919,114.54770855638843,7.354770524553017,1.8267927511771324e-07,3.19245981121536e-06,2830.1846463693437
i8,2,x_hol,1.7428284664759034e-09,2.013658614837855e-09,2.175182181961179e-09,2.3161795818511458e-09,2.497973009761173e-09,2.8282517729489215e-09,4.718286208330756e-09,6.517589307439579e-09,57.60889666167191,67.8877980344168,90.745199550357,106.18000767841203,171.60054731345525,0.0,445.951380086417,887.1218733087584,909.8563080646237,424.6468927311737,251.4075403065109,222.78479817424468,131.54450755483566,0.001129445942881336,1.8214215174876554e-07,3.1901304000217682e-06,3767.3368823079027
i9,2,x_hol,1.7428290297174873e-09,2.0136660994149407e-09,2.1753327749030356e-09,2.3159514045064834e-09,2.4978873729989235e-09,2.828539765567011e-09,4.71558541323969e-09,6.2067127029597656e-09,72.96650109328145,79.19302847053235,70.92848182145597,141.81550913761197,114.06672634007698,0.0,273.59682854462295,413.0905022499964,400.9600655030403,355.25966046757793,177.35003113784086,54.34847662817577,57.46906314357714,0.00046769676677476855,1.816657528963116e-07,3.2507907106665555e-06,2211.0453456915097
