,seed,var,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,RowSum
i0,9,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.80284488727324,219.66621109474627,216.60057122892744,320.45503065321645,291.6760913415633,263.5689526300159,0.0,54.81038475233597,96.89758851764391,117.85843880235768,136.10377462539995,130.44280474832362,52.39059256048977,48.54578340568232,0.658732544410499,0.0,0.0,2002.4778017923861
i1,9,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.658807459903024,102.55872532631474,152.04262826543507,142.70387530898896,165.14001036118833,149.29454265384274,0.0,216.97225663149086,481.2436549822382,162.17898883264084,193.83561862748158,235.02226866975437,103.5921228749823,56.367617368631834,23.750365149951197,0.0,0.0,2199.3614825128443
i2,9,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.66062362614966,196.344857336475,164.1593162272834,206.8984306722029,0.0,163.94855813090984,488.8245505800011,718.3607190197802,450.2977923377222,736.3507254849924,368.7685948497343,117.50598320393476,129.33861494052394,21.139726283162243,2.57097179896887,4009.1694644918407
i3,9,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6292841589269194,38.583330629146296,140.7704542899997,271.6249664187657,609.335987336609,0.0,269.96041694199374,1169.1373347133697,1366.0524475370612,837.6248225775544,802.2431497282145,314.21705008513544,245.07069923598726,142.21210306043832,1.9109604230121449,0.0,6211.373007136215
i4,9,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.702437624662338,36.65746102681894,56.529759709992796,41.994511400569046,66.62009022401504,51.0466428644584,0.0,96.93422117045831,447.3824961008392,645.944480805989,168.6187355486324,54.649787967019535,119.69927898164522,31.41844023151265,14.27197525635085,0.0,0.0,1836.4703189129636
i5,9,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.21645951623657,66.2111209063977,134.42006431580927,176.99185163445878,428.8885771447872,0.0,342.14963589641445,2052.6900794736907,1178.2837592053543,340.84082450106064,575.4280657089788,351.92620679563777,162.8806997605393,23.509521638360223,0.0,0.0,6015.436866497726
i6,9,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.894474712113907,165.65159107041205,271.4289602127161,217.2094604540292,226.54488063285183,167.8801553368849,0.0,117.97737475014863,334.88349816008315,279.46691360863457,398.2456205160549,615.5753476159988,165.41512744058153,76.3180306712827,17.471546834316168,0.0,0.0,3058.9629820161085
i7,9,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.270749429386637,22.830464582125416,55.078874974027684,114.40881096066664,286.6248684127527,0.0,127.9974472604098,414.670569399573,581.9992200917046,322.79471332411214,249.78706927544312,99.96985595080513,79.49299276811048,48.22568274220788,0.0,0.0,2432.151319171325
i8,9,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.919807168553792,56.1514947012476,73.16100219191425,77.36400693004529,91.09854059074274,156.40372344489754,0.0,202.19037607049836,936.9400181362087,869.41307025207,361.25269014989726,200.6744193657001,209.88877711557825,107.59229768821668,55.82531108955038,0.0,0.0,3407.875534895121
i9,9,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.58544317328236,84.18795569839527,71.76999178513832,103.23250328761048,86.54697776049647,0.0,141.02264067522052,465.8708135732317,388.2402469696833,272.7608519689184,169.429025307398,53.12338438170328,58.370467453630546,0.0,0.0,0.0,1969.1403020347088
