,seed,var,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,RowSum
i0,25,x_re,6.130669643783538e-10,7.075247807246107e-10,7.63311801033539e-10,8.122553241477706e-10,8.738681263710155e-10,9.82585073144927e-10,1.6715343338372664e-09,2.329095789665808e-09,234.14648335191097,238.57825993454827,477.25417809647314,359.39670998122864,346.6069902210772,0.0,137.03330410965825,121.94256542028849,143.01011866091605,207.12490274420847,194.9045859783521,37.55360096122112,44.7125221106792,0.831205877313378,3.617864237851103e-07,1.0616066547710923e-06,2543.0954288800212
i1,25,x_re,6.130660468850655e-10,7.0751209315076e-10,7.631719056432236e-10,8.12101048410521e-10,8.736703657989174e-10,9.822840778105994e-10,1.6555525324323037e-09,2.3108010840632602e-09,82.54408462330757,177.26351335345953,170.7619942704419,214.23564245613485,213.09662588454495,0.0,362.3871367825302,499.19112060195596,174.74310676699702,207.90621796469148,262.49375064325613,137.11267848878313,55.19650111028392,4.124032716139615,3.7657432366188436e-07,1.0932678675930675e-06,2561.0564071410863
i2,25,x_re,6.130650408740554e-10,7.074987803718975e-10,7.630302611927958e-10,8.118690319097623e-10,8.733828124114873e-10,9.819318508638995e-10,1.6047992607625473e-09,2.1556891001785864e-09,9.489140424926531e-08,191.8164815027364,200.15454885942898,176.8277468421006,335.9683600103856,0.0,284.55671892432014,533.8861665016661,741.8900113117385,670.9778172008363,837.0732567394691,471.89879309262733,126.14773433352465,127.4956230366747,3.9178352170694645e-07,1.1194592883616252e-06,4698.693259970154
i3,25,x_re,6.13065912929359e-10,7.075103943094533e-10,7.631568353220136e-10,8.120561099640774e-10,8.736826910585923e-10,9.82253536666648e-10,1.6524159485685273e-09,2.1789697006312363e-09,2.450048037621305e-06,29.401656427397548,108.06537746866991,310.53495475793454,869.998563689442,0.0,387.54313859508926,1218.724230248825,1190.5316973681233,864.888910595825,914.2797022893839,336.1238087952413,344.29101544035694,8.68486714016894,3.576064995084844e-07,1.0970985282746991e-06,6583.067926729795
i4,25,x_re,6.130658486274817e-10,7.075101338468831e-10,7.631619024533885e-10,8.120512836677858e-10,8.736340245555085e-10,9.822287518041351e-10,1.6087311034084104e-09,2.284589069081706e-09,38.587793514531114,56.87205474058938,49.09128402376565,80.53400602500773,71.30297044963983,0.0,167.7689969571031,483.954550998266,617.873739338454,202.53595381903196,65.92238888026013,145.20473183581757,38.888631560815924,8.346556394531804e-05,3.826465688694396e-07,1.0864984284598096e-06,2018.537187086636
i5,25,x_re,6.130653890010183e-10,7.075026378690765e-10,7.630586858048943e-10,8.120030679297973e-10,8.735743461105292e-10,9.820397997081399e-10,1.6480454442799113e-09,2.1674568492095906e-09,167.21645234570255,58.82353561043141,88.19675028415892,180.17983752269285,426.27404789896065,0.0,672.8799233275329,1634.3515796394813,1377.3196612487789,443.6684070821283,684.3110433942852,351.18610958799206,167.37940389415172,5.625945784902194,3.556222824676649e-07,1.0597799510608894e-06,6257.412699045168
i6,25,x_re,6.130663204139554e-10,7.07517575016919e-10,7.632641093040697e-10,8.120893341468561e-10,8.735565995726116e-10,9.824484940407623e-10,1.6503581435045968e-09,2.2572590565934395e-09,169.57363675517024,253.26022163225147,227.72483941104295,234.76032166156867,207.14234381860138,0.0,182.62915249698523,303.44495931519896,368.4955029632651,455.2956168480204,782.9460679605533,193.37167983765517,76.82399982995729,4.632906480769321,3.748851588731844e-07,1.1018315165425e-06,3460.1012504964156
i7,25,x_re,6.130653554104089e-10,7.075022914573766e-10,7.630568237289679e-10,8.120051593895219e-10,8.735586380939494e-10,9.820400824791806e-10,1.6482180878001902e-09,2.176958137839455e-09,19.61849016566602,18.24470224075497,42.012992521370734,122.13796610207035,360.0758038329631,0.0,211.3160226257844,387.9878977889827,618.4582042575959,359.86343646017,343.3454146534845,123.73184018489036,94.12595252269848,7.222731843490211,3.822671886591253e-07,1.065097416597032e-06,2708.141456655863
i8,25,x_re,6.130664529007938e-10,7.075195139246474e-10,7.632854283046913e-10,8.121038200484139e-10,8.736684003261596e-10,9.82484837224898e-10,1.6095200089742384e-09,2.297929253325629e-09,36.518566596298946,47.35722529495659,86.39595361159101,99.48706530066733,208.68508556131087,0.0,345.1422704071592,803.3521085672099,757.4279109576062,438.74743924956,214.2153359188618,224.48901704772337,148.08230978025,0.7770212423198605,3.8477182397317094e-07,1.0844235573723313e-06,3410.67731101337
i9,25,x_re,6.130655698573711e-10,7.075066527682282e-10,7.631318697079886e-10,8.119072482791742e-10,8.734416253290932e-10,9.821627198579356e-10,1.6071864549474893e-09,2.17720163739904e-09,70.90776774185935,68.37693322298003,81.0573834134874,117.40770600899073,132.99287649418463,0.0,255.5385769394099,509.83426828680365,433.1666055242702,289.3742114169479,160.0822552357679,42.47081346623092,63.55778019102879,1.3169382730111525,3.6839182936926523e-07,1.079083337200767e-06,2226.0841176709832
