,seed,var,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,RowSum
i0,7,ym_hol,9.385008164731935e-08,1.0343321284909562e-07,2.1076997225232756e-06,4.396165789445122,10.377909993129373,0.6881937251639484,2.331763958267887e-08,1.528215404050602e-08,9.050912987268481e-09,8.095736894319215e-09,1.834259218357304,0.13637610687541596,3.360321173279542,4.5595345785736925e-09,0.0019527009710556896,0.5793567233475378,1.6776037824145893,0.9864071979489133,1.235374590137293,0.09346173003635867,0.4680571664177367,0.013046237521140779,1.1237533037323917e-08,1.3878194802639199e-08,25.848488525450055
i1,7,ym_hol,9.385059843579464e-08,1.0343522592301206e-07,1.3965721896511523e-06,4.343703217083177,10.361461138556114,0.28707082042088766,2.3448612884840457e-08,1.544294760818331e-08,9.018412290442478e-09,8.091962074076027e-09,1.1831949798331799e-08,0.019603408608094938,1.156507283780775,4.559534576274945e-09,0.0019035070806211279,18.483983041606372,0.23954156127448364,0.5581295761121935,1.4089929475042395,0.41512457558447674,0.3347718261885928,0.06781154480538505,1.1235729140363054e-08,1.387466776225903e-08,37.67860613996724
i2,7,ym_hol,9.385441351040955e-08,1.0356698432439574e-07,4.246882811247448e-06,12.154631503348787,24.534414142525716,2.9461075876728393,2.487587414049854e-08,1.6161018234959433e-08,9.067915988421065e-09,8.093820323587497e-09,0.23228151407819592,1.2615133578824759e-08,2.6717394049954724,4.55953457727472e-09,0.0023904772220452505,16.95332563635273,25.49151650589366,5.134184070866211,19.06448454946623,3.911388189481117,1.2412569460621152,4.924579337446579,1.123808877191613e-08,1.3883997165847406e-08,119.26230441021129
i3,7,ym_hol,9.385366981700807e-08,1.0356067991277316e-07,4.246891785121686e-06,18.468672947422437,37.18940735171366,2.4113668425614936,2.4121464939280983e-08,1.6119645086677044e-08,9.030717960714009e-09,8.078327223326155e-09,0.10649964702100084,0.0024002830540772067,15.655498940806773,4.559534576088308e-09,1.0947682392849293e-08,59.39026075215915,34.037025906568495,18.702158529761306,10.155077227590224,3.730677860768338,1.0185722714714864,0.24192106732422314,1.1238638925212528e-08,1.3879407015969516e-08,201.1095441705042
i4,7,ym_hol,9.385285614269642e-08,1.0351874697489622e-07,3.297109457257395e-06,2.6217900689191267,5.76116117780633,0.20784205024406524,2.4736367646435913e-08,1.5546985307854494e-08,9.02212161951768e-09,8.091643796164624e-09,0.009076721548455369,1.0847777531654057e-08,0.025112762666013665,4.559534579047775e-09,0.003603821885684892,19.64726427889551,11.679116431559814,0.9822484336055898,0.026709207425395586,0.16861327381781827,0.1458075752197535,6.205912324675948e-07,1.1237142893718482e-08,1.3873507897054484e-08,41.27835001658093
i5,7,ym_hol,9.385129842175744e-08,1.0348378013399423e-07,3.0579063380529462e-06,16.717381068412784,34.19102811124462,3.477053170762531,2.37733426365284e-08,1.6010682285039462e-08,9.013784634737789e-09,8.081035448382009e-09,0.003321277104789266,1.0839829018818104e-08,5.356227116663713,4.5595345759892246e-09,0.766923793168193,114.84283873391695,45.813498048873264,5.477650371453913,4.593765399412124,4.531943023834105,0.5230271233414371,0.0540966017974394,1.1236364179406865e-08,1.3877307086989343e-08,236.34875719261916
i6,7,ym_hol,9.385159402615465e-08,1.0347865976251166e-07,3.056246149449507e-06,7.659511738780183,15.848103271389546,1.0811655488934544,2.3700117948513968e-08,1.564679163640026e-08,9.037730635055878e-09,8.106508411343313e-09,1.1102403236171442e-08,0.0032866941269565487,0.17119067235026364,4.559534576600086e-09,1.0041145965854461e-08,3.7358648879210126,8.537226292517362,8.613772076262444,18.10730863501968,0.810892804095634,0.4973966655237482,0.09675543836407854,1.1236683654211101e-08,1.3875954361379333e-08,65.16247808612763
i7,7,ym_hol,9.385371501866204e-08,1.0353205671542225e-07,3.298795914622307e-06,5.838883400833448,11.175853109287035,0.5643990190216513,2.39651209222814e-08,1.6089595055804923e-08,9.029011230674457e-09,8.086937656948578e-09,1.1083638054510412e-08,1.1345298810538085e-08,2.844288435972467,4.559534577280366e-09,1.4026286078257345e-08,6.154365839719934,16.09376903717192,10.899887608837217,3.1611832394883366,0.03847867706532799,0.30500024825688427,0.2213604285315771,1.12381371847789e-08,1.3876502739654423e-08,57.29747266366755
i8,7,ym_hol,9.385000408560222e-08,1.03415918878821e-07,1.1590342417341549e-06,8.383949274803449,17.130025172527198,0.46299216084367223,2.4595561212170904e-08,1.5517099617785374e-08,9.021963919852123e-09,8.086227706362025e-09,0.01161836793012923,1.0805371958022787e-08,0.5764928055893185,4.55953457647566e-09,0.0037113984788109543,40.56109873704191,25.129872605068435,4.260296648070311,0.43717344525609114,3.0867850287514558,0.76900887643933,0.20366511138030785,1.1236228702828158e-08,1.3873467621889037e-08,101.01669108617605
i9,7,ym_hol,9.385319026573963e-08,1.0350700871749099e-07,3.0600269769502587e-06,5.261086987759101,12.904092692957425,0.6108554882315271,2.4791817948699783e-08,1.6065338977810785e-08,9.025199558171239e-09,8.095256519155198e-09,0.0024758525117443125,1.055536243458217e-08,0.03553829937198963,4.559534578866166e-09,1.0859237515691743e-08,12.255807056859869,5.7165510446211565,4.826069060918046,0.4940880368062178,0.04137744230243441,0.5042920270526421,5.70301338707831e-07,1.1235994611041058e-08,1.3875140009082041e-08,42.65223792614355
