,seed,var,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,RowSum
i0,4,ym_ind,0.0,0.0,0.03928160488916756,6.900385390254017,12.607925535414772,1.8316570124206484,0.0,0.0,13.45124171940643,15.99259232049523,41.720602735084555,20.039728636905817,15.793217820337134,0.0,0.07246443079655332,2.425142085896974,8.36964132199467,7.252466601299313,5.645313315036093,0.019921430603990774,0.16199560180536784,0.022715100145730784,0.0,0.0,152.34629266278648
i1,4,ym_ind,0.0,0.0,0.08733940915302607,8.959833917825636,17.874140344250762,2.16160458836453,0.0,0.0,1.6207707242115246,4.619718519719063,11.070558522800468,11.569232533636571,12.036782515662336,0.0,1.0478122600022934,63.83163364456614,9.445931716042578,17.93322836385976,15.683149162567185,2.6637511509036056,0.3682721819402889,1.847900566820857,0.0,0.0,182.82166012232665
i2,4,ym_ind,0.0,0.0,1.9179660766276754,30.89856260636695,45.277296540941755,10.97858007520245,0.0,0.0,0.0,8.482852265516248,2.758849473379186,0.7107424497142192,6.307463774036506,0.0,0.6736336735896661,53.19200412112802,111.2720050614538,44.81323630613013,79.41005971705462,24.12469195053046,0.678369196110941,3.0035225058131783,0.531854926504408,0.7375412714055105,425.76923199150565
i3,4,ym_ind,0.0,0.0,0.5605918062239718,14.959292077201635,39.40232115676295,2.484353211902745,0.0,0.0,0.0,0.0,0.0,4.851380556496231,67.67311839270708,0.0,0.6454846389249486,159.23810453878377,206.38241892874626,77.47482445412244,53.649672571061956,7.733879702318195,4.662008410585184,6.8718557926528,0.0,0.0,646.5893062384902
i4,4,ym_ind,0.0,0.0,0.17058414610059472,5.269592787006915,8.607715405792096,1.396119218460157,0.0,0.0,0.20659414529854545,3.040983108937973,0.8462566312075702,3.1300697584323713,1.0719901757192145,0.0,0.5310570329719028,79.72429616577523,98.48069519538066,14.384015294058706,2.214197373078311,7.174358708096929,0.5266178507578825,1.6304143513294376,0.0,0.0,228.4055573484045
i5,4,ym_ind,0.0,0.0,0.5432362402761239,22.269588424837448,47.40543038847502,6.4401796622387835,0.0,0.0,0.0,0.0,0.0,0.0,28.272885210177233,0.0,1.9931997405142845,276.65364969802084,171.7587142492788,18.716331345225953,49.027262907601646,11.044094100679207,1.2105253509115095,2.23313951492558,0.0,0.0,637.5682368331625
i6,4,ym_ind,0.0,0.0,0.9508593905843804,15.55697804420498,29.83556607239364,5.870474550627084,0.0,0.0,4.08424243320061,18.131382781210036,7.029166101759386,12.84478162080897,6.227835360248398,0.0,0.5204848682843658,23.99679202360198,21.99176773236287,33.57527735796729,81.88399593630693,6.173249132811972,1.2990375322153795,1.0450969281503868,0.0,0.0,271.01698786673865
i7,4,ym_ind,0.0,0.0,0.5498126499376905,6.867120543278507,13.83552576045947,1.7322381080098297,0.0,0.0,0.0,0.08870228283866656,0.15211029185539604,4.376434047312834,16.97325038805073,0.0,0.5728821713461412,43.89931257311177,78.43586546632429,34.215821174302754,19.708707309387524,4.651674412346143,1.9303005899820134,2.2446740224927977,0.0,0.0,230.2344317910365
i8,4,ym_ind,0.0,0.0,0.0,12.439062939056297,22.711981165633368,2.9286156232476643,0.0,0.0,0.0,0.0,0.23899215564212867,0.0,3.902794231268869,0.0,0.5337781850824466,120.51658063219325,124.10255300047393,49.48446727142744,8.110963043803123,7.628117534037001,1.3016746978316331,3.014479788301685,0.0,0.0,356.9140602679988
i9,4,ym_ind,0.0,0.0,0.7671675409451627,11.58007875459528,21.39308459347166,3.7082147875635765,0.0,0.0,0.3147847169702191,0.24587600074511706,0.18596266506387885,3.22982381692177,2.286249021100356,0.0,0.23829154355642299,85.13707297444704,30.93212499204562,18.252126949159425,9.134535540435621,0.506848396094144,0.22867966024138933,0.0,0.0,0.0,188.1409219533567
