,seed,var,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,RowSum
i0,2,yp_hol,1.1712978555003044e-07,1.321221705447356e-07,1.4899945697822205e-07,1.6365594064916329e-07,1.7410196361526083e-07,2.0482335964079722e-07,2.386353563707819,20.87686976345823,6.657192270993334,0.6175503584611834,2.5370847827786e-07,16.75631786871587,29.75298473262793,299.84645069640226,33.98452855532404,4.1073393398740014e-05,0.0048735308875614315,0.3500871825332497,0.9407344733029503,0.4995311469605511,2.3416004828515553,5.617154030539436,11.00569410926541,2.0679303293600775,433.70589536332596
i1,2,yp_hol,1.171297386545633e-07,1.321216695419222e-07,1.4899516250518217e-07,1.6363536710365413e-07,1.7408221147044745e-07,2.0481146187168968e-07,0.3672891833421745,7.688987259064244,0.6831198677367902,0.07227486610942319,2.4878446834493393e-07,2.7332318391694925,5.4240122280584515,518.4993825090551,83.86705547468046,0.23870837732782582,0.09767179932393164,0.10231354360948476,0.22077966798784196,1.1511436356842044,2.0507441916129228,5.554867736922725,10.751000917688927,2.221043198576991,641.7236274855111
i2,2,yp_hol,1.1712961482429666e-07,1.321200321011727e-07,1.4897536339410324e-07,1.6361268910036865e-07,1.7407228135414875e-07,2.0478647666147918e-07,1.690413380822083e-06,3.7223628359956734e-06,0.876399174896655,0.1281766262756445,2.4809624877041956e-07,0.9995492315368552,17.8973358970166,452.82282546655586,68.39022537547416,0.16502261707026697,5.376756329562811,2.075360990046179,24.681911409053672,4.485908415660433,5.719087326434153,8.110483649235992,22.144471136863153,3.7736922013651326,617.6472124486165
i3,2,yp_hol,1.1712965889873795e-07,1.3212040494239097e-07,1.489780529734208e-07,1.636221341871505e-07,1.7408859410330448e-07,2.0479871795802337e-07,0.10855134230721669,6.592494394928921,0.674377904801377,6.921024270743576e-07,2.5190359610860677e-07,3.958850800290486,53.22395933820602,755.0448893844291,151.5882340060443,19.224843332912627,69.38001401134596,25.76797636403429,15.371883682811664,3.3303921612078606,16.227344213318695,17.90104095613483,31.970840544369167,6.70669305279144,1177.0723873746776
i4,2,yp_hol,1.1712969847590837e-07,1.3212040424025746e-07,1.4897825856705844e-07,1.636166605031456e-07,1.7407883847827792e-07,2.0479274461626504e-07,1.6700787157083322e-06,1.6870861557091388,0.18104974552991315,0.01901123311926451,2.4886137842921197e-07,0.5716390233019851,1.1373868359889423,107.35545583256845,28.927508361836843,0.5103626162311388,13.099960849241823,0.3281879792864214,0.0737256270072458,0.536778925852969,1.3464563917862946,3.2734985389880786,5.661283520533236,1.0832212443749691,165.7926157410134
i5,2,yp_hol,1.1712968496243724e-07,1.3212106170071802e-07,1.4899006398646945e-07,1.6361899571258268e-07,1.7407725542902516e-07,2.0480588441834514e-07,0.7535387175453261,5.350500199786572,4.273603523355057,6.933981778274844e-07,2.5198820528581064e-07,1.087778623480745,16.11762606384354,1055.809584503866,282.6396310836572,182.76521432379562,55.55629760448473,0.12243314125219182,4.868349209307612,4.06560457220503,5.474947634513353,16.944797778393895,30.999684238954718,5.799822194291359,1672.6294152988623
i6,2,yp_hol,1.1712970483105477e-07,1.32121013303262e-07,1.4898346121623002e-07,1.6364192611628934e-07,1.7409761443393567e-07,2.048074268171709e-07,0.47935464364564373,7.710676038103649,6.1352196309517755,0.7041005988213008,2.4876297780064716e-07,2.1152634973472684,9.366751236812451,300.59613377867413,36.74024780087963,0.12682011177299168,1.0654124852815716,0.5124454918025309,3.9269569589590394,1.7801117693483426,4.166728752384322,9.022672545537944,16.19064250340231,2.9547168386263842,403.59425587189537
i7,2,yp_hol,1.1712965569538452e-07,1.3212032141375473e-07,1.4897784656421523e-07,1.636138344409341e-07,1.7407600866880952e-07,2.0479530945280016e-07,0.10778437376469557,1.8402504942498081,0.08350838149858147,6.919481833594947e-07,2.488395975540531e-07,0.4065053112841141,8.906132569524638,309.46056298948577,44.98578359648799,0.9097078606426469,12.246326626488651,0.791776078448922,0.35733663125343507,2.0162145292141886,3.8884185606142063,5.805476799965629,11.241189746610308,2.244598956872125,405.2915753879064
i8,2,yp_hol,1.1712965483024198e-07,1.321205241032141e-07,1.4897974254745276e-07,1.6362250539624547e-07,1.7407737026420487e-07,2.0479542652778976e-07,1.7141896887068559e-06,8.0024615862723,0.07936517631444452,6.929794770405405e-07,2.51513271052508e-07,1.387818790319243,8.256697964268966,333.43391183391367,74.18175956645835,7.615825681501142,25.67818988420947,0.3844259967601541,0.5595984142862777,2.2213888043782952,3.714436715818614,9.047351429227172,15.81054672431261,3.0758227075957776,493.44960487504414
i9,2,yp_hol,1.1712967553501125e-07,1.3212082203144092e-07,1.4898853753441424e-07,1.6361264435309016e-07,1.7407459406604688e-07,2.0479869419481147e-07,1.689586926111617e-06,1.6729495127102927,0.8604405412511978,0.019633564103985608,2.4812306095345026e-07,0.8276385685133437,3.0480449843347825,174.96366699615282,66.74958643012457,2.910947875156995,3.5589061480230924,0.17476108770129295,0.03939267197576819,0.32071329332080617,3.3879436758574246,6.244666327867003,10.402600205086923,2.0449722092612204,277.2268669698765
