,seed,var,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,RowSum
i0,1,yp_ind,0.0,0.0,0.0,0.0,0.0,0.0,4.414262160593791,43.735713472622336,59.8414734918452,44.97382179755271,97.64313251794178,86.57549421786747,104.9931477395633,313.43744752443695,97.00927820105814,2.8739733436623296,8.369071430747011,27.912446768142463,33.00982305980094,1.248380100635594,1.2139996539035471,4.645405565206667,6.322059543592119,1.3599828306057349,939.5789134197781
i1,1,yp_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.8740245286369371,30.922417769203424,14.632650980829371,25.81489265557805,19.947556338904068,50.071670355216924,49.91560638911328,520.6710849567203,315.3107138251428,70.7543304682128,11.483639416113057,24.87595698399861,45.51986303265835,13.572977911235899,2.8585942156435467,7.9488576609071355,13.280995144009038,3.682883163805917,1222.1387157959296
i2,1,yp_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7488581727959263,26.144546760446943,22.170604846888835,15.737196541803211,41.5615682240314,436.7543442522898,165.79790688346588,57.35641349509387,153.13420919295515,119.64387270981032,224.71092446507,85.61716569005111,11.897092804136351,19.38327328269716,22.124639789627057,11.07530156091137,1414.8579186720744
i3,1,yp_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.2828839773011876,8.40141006871283,5.3440009013745815,0.6749694932070552,0.0,18.556134728602416,232.13276450124206,711.0142131431613,246.47988743154855,163.752237495608,265.45907563726473,217.36039084127324,183.75907202885017,38.9484476450583,38.82484164133664,1.0692200093156996,48.73000067963747,14.68588101031204,2195.4754312338064
i4,1,yp_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.149173270744537,6.985239336915347,7.021642503798275,3.5979248848446206,12.448518304378872,5.347273118852729,107.81334920859614,144.27187098071445,110.69224983716343,141.59682587881824,48.41126853633607,5.711077633902711,35.03846625815175,2.7765582355671152,1.0524180932671656,8.107638131029358,1.635045111019451,648.6565393241003
i5,1,yp_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.5044275208192943,7.673826460255397,21.896188852771942,0.5301939554201983,0.3273725240916723,3.185901007574782,77.58532403895575,1030.2042028824083,522.3397228308692,310.4363781898131,223.16333828697927,35.44326229909035,116.60343466643859,27.714115961802296,10.562484313241354,11.970201521599224,29.212824707498267,7.205807616850561,2436.5590076364792
i6,1,yp_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.5781493161376856,26.46337633909723,33.89554215046203,56.10939125037836,23.28406866567015,31.37775960227397,30.49600450900141,333.2744946809424,126.70227674725602,18.88060823236023,32.603770901653725,81.723212419493,229.15486430919879,21.75533864430491,2.4052045554994383,13.12443099267156,23.639516862805575,8.836183861955051,1094.3041940411615
i7,1,yp_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.14075318466714445,3.7593626274036454,2.008196136028421,0.05275245240981162,0.19661063681610025,12.727510801671729,84.26402168354636,293.29930897327694,134.02379062915125,49.574178887096735,107.5667131539753,77.2908271578613,83.75530984072788,20.11436448358009,11.813710340878012,0.969432460611551,17.213346734014063,6.4541110544304345,905.2243012381468
i8,1,yp_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.692578704253197,6.980620440148078,4.0403355028807955,0.9272633830512769,2.7130692245645838,26.753047886605074,356.60504974928955,283.3672335234541,182.6951268720338,181.88505675647875,58.22865641508994,29.791800727286226,28.75312935189748,16.019749364575553,4.117978580861066,20.19834263898095,5.694979132196075,1233.4640182536464
i9,1,yp_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83663476773011,14.675344838560566,7.169619278218769,4.553390953548148,9.922796273315747,12.172964340935973,199.10078848910035,191.17894284636571,84.77344806401878,70.69816775280648,64.25633432319184,25.903798019530004,1.6454024047207512,5.571993100823473,8.447759493047561,10.65160068171742,2.6921187141759653,715.2511043418076
