,seed,var,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,RowSum
i0,5,yp_re,1.2812386045915833e-07,1.4461221243801103e-07,1.5511997889138783e-07,1.840094791020731e-07,1.7906233014043102e-07,2.2221736867139987e-07,2.6803146876145725,18.57088420330415,8.277215798782889,1.6797155840054663,3.0363095018515344e-07,11.043804881964945,12.610048608828833,317.66197731327355,31.685904365203257,4.671913717464674e-05,0.12210748914090594,2.693304937751868,3.5041561530493497,1.0019704769723519,1.307480373573427,8.131363325057215,5.6343990977064164,3.260371943617886,429.86506727576045
i1,5,yp_re,1.2812372068192614e-07,1.4461044905206112e-07,1.550987615527974e-07,1.8398921179758048e-07,1.7903558278987062e-07,2.2218619060273915e-07,0.29225744759120426,7.712882604131223,1.4422650355652957,0.24681755876122366,2.9577835123516374e-07,1.2840538097202228,6.009770944110732,524.5149580759837,117.62177180072884,0.6064982580525315,0.3927020974886488,2.21060954038181,2.3733929615948917,1.4272628866734554,2.4592338283857913,8.150727483767152,7.6047875304299115,3.493232927590554,687.8432260997795
i2,5,yp_re,1.2812345148528313e-07,1.446074525872174e-07,1.5505905397904472e-07,1.83950251942903e-07,1.790109851625158e-07,2.2212463758617067e-07,1.7422274815423824e-06,3.94964022389275e-06,3.101220660887519e-06,3.0338284830321056,3.010974119167174e-07,4.397428549191698,9.28304483333218,474.6706250367894,71.63440005652657,0.4128224541574434,14.82082066615172,17.173845634156656,45.9900868943927,11.315720765002563,7.305665331593794,11.845762696358976,11.456668423912642,6.697871646249374,690.0386015779094
i3,5,yp_re,1.2812350012097542e-07,1.44607937346983e-07,1.5506422891827964e-07,1.839515896809327e-07,1.7900838520887444e-07,2.221374626360637e-07,0.19207175918817027,5.903590227357894,0.37231696477607124,1.4353553632256875e-06,2.9363228841008105e-07,7.519295096801314,37.007024109796056,681.0020358236782,130.66623262607428,34.59622023312945,32.46333759305398,31.107817643778063,22.99710385864365,4.196597904039985,11.450094812264785,26.380076232575433,22.001114674914817,9.568348021142167,1057.423280323095
i4,5,yp_re,1.2812357412583255e-07,1.4460912148191033e-07,1.5508056288763347e-07,1.8397232416536496e-07,1.7902428826342115e-07,2.2216302016945322e-07,1.7439050512518694e-06,2.7832029735201957,0.7811316061331874,0.1840490220042279,2.9471026040231525e-07,1.0620802479676994,0.9269317257881717,108.62448401135167,35.09866722417415,1.1761598761734364,27.113462036227357,1.2129750964103658,0.3011982755836014,1.2742605599177057,1.1690453662611335,4.066019428433865,3.4401109326863764,1.3974323233576795,190.61121375757904
i5,5,yp_re,1.28123517250909e-07,1.4460824595448546e-07,1.5506666773762356e-07,1.8396322820108623e-07,1.7901629206141467e-07,2.2214038636633847e-07,0.4800339589489071,5.1482762495023255,8.21936075559134,1.436158207419089e-06,2.920776483169186e-07,0.4641624948571086,17.709450642161652,1013.5665426992294,212.8999413920741,194.6094836942704,50.49086981884444,3.179149728011636,20.894508805100237,7.37303265522453,6.090002208172825,22.63064112036996,17.278038828471733,11.876833214792335,1592.9103310067771
i6,5,yp_re,1.281235976561537e-07,1.4460924627160227e-07,1.550809635254236e-07,1.8397613943870728e-07,1.7903548920320483e-07,2.221709565214904e-07,0.4022463340441969,6.856316036629436,4.2975573762668695,1.3495972971499206,3.017659339361026e-07,3.339063646288803,2.1630140586687223,320.3077538100596,51.33013908946861,0.10743438414583595,0.43784665105147264,8.121047278143386,24.972237620485295,2.6708693482437393,2.5550025887499896,12.074719578324876,9.096975972404513,5.096424828316142,455.1782472132037
i7,5,yp_re,1.2812351893403905e-07,1.446082528061221e-07,1.5506623676269894e-07,1.8396048304951868e-07,1.790176746936636e-07,2.2214038111358633e-07,0.10242158685363714,2.44033814225899,0.22148617895389205,1.4357963039908199e-06,2.9207410349324857e-07,1.4529998529851071,4.187559847807276,315.31214632925736,52.8915473808767,0.18460537005380304,8.605789246226735,7.164855049251377,3.3093596746997194,1.965176549908121,3.373606868262313,7.758708051068457,6.399885515837202,3.3176786437347876,418.6881670288224
i8,5,yp_re,1.2812349444485028e-07,1.446079677233442e-07,1.5506442041552396e-07,1.839566154177999e-07,1.7901097265561622e-07,2.2213268412575502e-07,1.7508915860325885e-06,6.331278207970007,0.8023204519503184,0.09610642647050255,2.936208977452215e-07,0.08804017307731221,4.280173072288525,334.6521858528475,83.06878948162115,10.169077825409992,31.857255680879625,4.648484441015894,2.483706730845656,1.6123784659931524,6.803087237601951,10.726955218680743,9.619683775806088,4.264872118590573,511.50439821845765
i9,5,yp_re,1.281234819961452e-07,1.4460767336810355e-07,1.5506027064287944e-07,1.8396130953317423e-07,1.7902155425700845e-07,2.2213082042629225e-07,1.7434659568303082e-06,1.8228242291245278,0.7911764687702433,0.1241652457699824,2.929063665812008e-07,0.31891978744179084,2.7600271569941772,199.19182679353017,53.653841238786484,1.041884284165149,0.5487143378721739,2.4392912508525617,1.3011727403935713,0.3768122749097904,2.0817614129020647,8.067950887984377,6.17140651500864,3.3759360884657936,284.0677137622489
